study_a,study_b,var_name_a,var_name_b,similarity_score
gissi-hf,time-chf,f9_nitrati,v12nitrat,0.625
gissi-hf,time-chf,f9_nitrati,v3nitrat,0.625
gissi-hf,time-chf,f9_nitrati,v18nitrat,0.625
gissi-hf,time-chf,f9_nitrati,blnitrat,0.625
gissi-hf,time-chf,f7_descopen,statin_at_bl,0.875
gissi-hf,time-chf,f7_descopen,statin_dose_bl,0.625
gissi-hf,time-chf,f7_descopen,statin01,0.625
gissi-hf,time-chf,f13_dspirono,dosespirov1,0.888888888888889
gissi-hf,time-chf,f13_dspirono,dosespirov3,0.888888888888889
gissi-hf,time-chf,f13_dspirono,dosespirobl,0.888888888888889
gissi-hf,time-chf,f13_dspirono,spiroadjbl,0.625
gissi-hf,time-chf,f13_dspirono,spiroadj3,0.625
gissi-hf,time-chf,f13_dspirono,dosespirov18,0.888888888888889
gissi-hf,time-chf,f13_dspirono,spiroadj1,0.625
gissi-hf,time-chf,f13_dspirono,spiroadj6,0.625
gissi-hf,time-chf,f13_dspirono,spiroadj12,0.625
gissi-hf,time-chf,f13_dspirono,dosespirov6,0.888888888888889
gissi-hf,time-chf,f13_dspirono,dosespirov12,0.888888888888889
gissi-hf,time-chf,f4_dspirono,dosespirov1,0.888888888888889
gissi-hf,time-chf,f4_dspirono,dosespirov3,1.0
gissi-hf,time-chf,f4_dspirono,dosespirobl,0.888888888888889
gissi-hf,time-chf,f4_dspirono,spiroadjbl,0.625
gissi-hf,time-chf,f4_dspirono,spiroadj3,0.75
gissi-hf,time-chf,f4_dspirono,dosespirov18,0.888888888888889
gissi-hf,time-chf,f4_dspirono,spiroadj1,0.625
gissi-hf,time-chf,f4_dspirono,spiroadj6,0.625
gissi-hf,time-chf,f4_dspirono,spiroadj12,0.625
gissi-hf,time-chf,f4_dspirono,dosespirov6,0.888888888888889
gissi-hf,time-chf,f4_dspirono,dosespirov12,0.888888888888889
gissi-hf,time-chf,sesso,gender,1.0
gissi-hf,time-chf,f5_daltace,ace_at_v3,0.625
gissi-hf,time-chf,f5_daltace,doseacev12,0.5555555555555556
gissi-hf,time-chf,f5_daltace,ace_at_v12,0.625
gissi-hf,time-chf,f5_daltace,ace_at_v6,0.75
gissi-hf,time-chf,f5_daltace,blace,0.625
gissi-hf,time-chf,f5_daltace,v3ace,0.625
gissi-hf,time-chf,f5_daltace,aceadjbl,0.625
gissi-hf,time-chf,f5_daltace,doseacev3,0.5555555555555556
gissi-hf,time-chf,f5_daltace,aceadj12,0.625
gissi-hf,time-chf,f5_daltace,ace_at_bl,0.625
gissi-hf,time-chf,f5_daltace,doseacebl,0.5555555555555556
gissi-hf,time-chf,f5_daltace,v1ace,0.625
gissi-hf,time-chf,f5_daltace,ace_at_v1,0.625
gissi-hf,time-chf,f5_daltace,v12ace,0.625
gissi-hf,time-chf,f5_daltace,aceadj6,0.75
gissi-hf,time-chf,f5_daltace,aceadj3,0.625
gissi-hf,time-chf,f5_daltace,doseacev6,0.6666666666666667
gissi-hf,time-chf,f5_daltace,v6ace,0.75
gissi-hf,time-chf,f5_daltace,aceadj1,0.625
gissi-hf,time-chf,f5_daltace,doseacev18,0.5555555555555556
gissi-hf,time-chf,f5_daltace,doseacev1,0.5555555555555556
gissi-hf,time-chf,f5_daltace,v18ace,0.625
gissi-hf,time-chf,f5_daltace,ace_at_v18,0.625
gissi-hf,time-chf,f13_pesoatt,weight,0.888888888888889
gissi-hf,time-chf,f13_pesoatt,weight6,0.888888888888889
gissi-hf,time-chf,f13_pesoatt,weight18,0.888888888888889
gissi-hf,time-chf,f13_pesoatt,weight3,0.888888888888889
gissi-hf,time-chf,f13_pesoatt,weight1,0.888888888888889
gissi-hf,time-chf,f13_pesoatt,weight12,0.888888888888889
gissi-hf,time-chf,altace,ace_at_v3,0.625
gissi-hf,time-chf,altace,doseacev12,0.625
gissi-hf,time-chf,altace,ace_at_v12,0.625
gissi-hf,time-chf,altace,ace_at_v6,0.625
gissi-hf,time-chf,altace,blace,0.75
gissi-hf,time-chf,altace,v3ace,0.625
gissi-hf,time-chf,altace,aceadjbl,0.75
gissi-hf,time-chf,altace,doseacev3,0.625
gissi-hf,time-chf,altace,aceadj12,0.625
gissi-hf,time-chf,altace,ace_at_bl,0.75
gissi-hf,time-chf,altace,doseacebl,0.75
gissi-hf,time-chf,altace,v1ace,0.625
gissi-hf,time-chf,altace,ace_at_v1,0.625
gissi-hf,time-chf,altace,v12ace,0.625
gissi-hf,time-chf,altace,aceadj6,0.625
gissi-hf,time-chf,altace,aceadj3,0.625
gissi-hf,time-chf,altace,doseacev6,0.625
gissi-hf,time-chf,altace,v6ace,0.625
gissi-hf,time-chf,altace,aceadj1,0.625
gissi-hf,time-chf,altace,doseacev18,0.625
gissi-hf,time-chf,altace,doseacev1,0.625
gissi-hf,time-chf,altace,v18ace,0.625
gissi-hf,time-chf,altace,ace_at_v18,0.625
gissi-hf,time-chf,tertono,s3,1.0
gissi-hf,time-chf,f12_lalt,alt,0.5555555555555556
gissi-hf,time-chf,volsis,lvesv_12,0.6666666666666667
gissi-hf,time-chf,volsis,lvesv,0.7777777777777778
gissi-hf,time-chf,volsis,lvesv_18,0.6666666666666667
gissi-hf,time-chf,f12_furosemi,v3furo,0.875
gissi-hf,time-chf,f12_furosemi,dosefurov12,0.625
gissi-hf,time-chf,f12_furosemi,v12furo,0.875
gissi-hf,time-chf,f12_furosemi,dosefurov3,0.625
gissi-hf,time-chf,f12_furosemi,v1furo,0.875
gissi-hf,time-chf,f12_furosemi,blfuro,0.875
gissi-hf,time-chf,f12_furosemi,dosefurov6,0.625
gissi-hf,time-chf,f12_furosemi,v18furo,0.875
gissi-hf,time-chf,f12_furosemi,dosefurobl,0.625
gissi-hf,time-chf,f12_furosemi,dosefurov18,0.625
gissi-hf,time-chf,f12_furosemi,dosefurov1,0.625
gissi-hf,time-chf,f12_furosemi,v6furo,0.875
gissi-hf,time-chf,f6_sartani,doseatiiv3,0.625
gissi-hf,time-chf,f6_sartani,atiiadj6,0.625
gissi-hf,time-chf,f6_sartani,v3atii,0.625
gissi-hf,time-chf,f6_sartani,doseatiiv12,0.75
gissi-hf,time-chf,f6_sartani,atiiadj1,0.625
gissi-hf,time-chf,f6_sartani,blatii,0.625
gissi-hf,time-chf,f6_sartani,v18atii,0.625
gissi-hf,time-chf,f6_sartani,atii_at_v3,0.875
gissi-hf,time-chf,f6_sartani,atii_at_bl,0.875
gissi-hf,time-chf,f6_sartani,atiiadj12,0.75
gissi-hf,time-chf,f6_sartani,atiiadjbl,0.625
gissi-hf,time-chf,f6_sartani,atii_at_v18,0.875
gissi-hf,time-chf,f6_sartani,atii_at_v6,0.875
gissi-hf,time-chf,f6_sartani,v1atii,0.625
gissi-hf,time-chf,f6_sartani,atii_at_v1,0.875
gissi-hf,time-chf,f6_sartani,v6atii,0.625
gissi-hf,time-chf,f6_sartani,doseatiiv1,0.625
gissi-hf,time-chf,f6_sartani,atiiadj3,0.625
gissi-hf,time-chf,f6_sartani,atii_at_v12,1.0
gissi-hf,time-chf,f6_sartani,doseatiiv18,0.625
gissi-hf,time-chf,f6_sartani,doseatiibl,0.625
gissi-hf,time-chf,f6_sartani,doseatiiv6,0.625
gissi-hf,time-chf,f6_sartani,v12atii,0.75
gissi-hf,time-chf,f3_uast,ast,0.5555555555555556
gissi-hf,time-chf,f6_descopen,statin_at_bl,0.875
gissi-hf,time-chf,f6_descopen,statin_dose_bl,0.625
gissi-hf,time-chf,f6_descopen,statin01,0.625
gissi-hf,time-chf,asa,aspirin_v12,0.875
gissi-hf,time-chf,asa,aspirin_v3,0.875
gissi-hf,time-chf,asa,aspirin_v6,0.875
gissi-hf,time-chf,asa,aspirin_bl,1.0
gissi-hf,time-chf,asa,aspirin_v18,0.875
gissi-hf,time-chf,asa,aspirin_v1,0.875
gissi-hf,time-chf,f7_ast,ast,0.7777777777777778
gissi-hf,time-chf,f7_furosemi,v3furo,0.875
gissi-hf,time-chf,f7_furosemi,dosefurov12,0.625
gissi-hf,time-chf,f7_furosemi,v12furo,0.875
gissi-hf,time-chf,f7_furosemi,dosefurov3,0.625
gissi-hf,time-chf,f7_furosemi,v1furo,0.875
gissi-hf,time-chf,f7_furosemi,blfuro,0.875
gissi-hf,time-chf,f7_furosemi,dosefurov6,0.625
gissi-hf,time-chf,f7_furosemi,v18furo,1.0
gissi-hf,time-chf,f7_furosemi,dosefurobl,0.625
gissi-hf,time-chf,f7_furosemi,dosefurov18,0.75
gissi-hf,time-chf,f7_furosemi,dosefurov1,0.625
gissi-hf,time-chf,f7_furosemi,v6furo,0.875
gissi-hf,time-chf,v1_hscrp,hscrp_v6,0.888888888888889
gissi-hf,time-chf,v1_hscrp,hscrp_v18,0.888888888888889
gissi-hf,time-chf,v1_hscrp,crpsensitive,1.0
gissi-hf,time-chf,v1_hscrp,hscrp_v3,0.888888888888889
gissi-hf,time-chf,v1_hscrp,hscrp_v1,0.888888888888889
gissi-hf,time-chf,v1_hscrp,hscrp_v12,0.888888888888889
gissi-hf,time-chf,v1_hscrp,hscrp_bl,1.0
gissi-hf,time-chf,f11_furosemi,v3furo,0.875
gissi-hf,time-chf,f11_furosemi,dosefurov12,0.625
gissi-hf,time-chf,f11_furosemi,v12furo,0.875
gissi-hf,time-chf,f11_furosemi,dosefurov3,0.625
gissi-hf,time-chf,f11_furosemi,v1furo,0.875
gissi-hf,time-chf,f11_furosemi,blfuro,0.875
gissi-hf,time-chf,f11_furosemi,dosefurov6,0.625
gissi-hf,time-chf,f11_furosemi,v18furo,0.875
gissi-hf,time-chf,f11_furosemi,dosefurobl,0.625
gissi-hf,time-chf,f11_furosemi,dosefurov18,0.625
gissi-hf,time-chf,f11_furosemi,dosefurov1,0.625
gissi-hf,time-chf,f11_furosemi,v6furo,0.875
gissi-hf,time-chf,f3_emoglob,hb18,0.888888888888889
gissi-hf,time-chf,f3_emoglob,hb,0.888888888888889
gissi-hf,time-chf,f3_emoglob,hb12,0.888888888888889
gissi-hf,time-chf,f3_emoglob,hb6,0.888888888888889
gissi-hf,time-chf,f10_descopen,statin_at_bl,0.875
gissi-hf,time-chf,f10_descopen,statin_dose_bl,0.625
gissi-hf,time-chf,f10_descopen,statin01,0.625
gissi-hf,time-chf,f10_dosaltbb,bb_at_v3,0.625
gissi-hf,time-chf,f10_dosaltbb,bbadjbl,0.625
gissi-hf,time-chf,f10_dosaltbb,v1bb,0.625
gissi-hf,time-chf,f10_dosaltbb,v6bb,0.625
gissi-hf,time-chf,f10_dosaltbb,bbadj1,0.625
gissi-hf,time-chf,f10_dosaltbb,bb_at_v12,0.625
gissi-hf,time-chf,f10_dosaltbb,bbadj12,0.625
gissi-hf,time-chf,f10_dosaltbb,dosebbv1,0.5555555555555556
gissi-hf,time-chf,f10_dosaltbb,bb_at_bl,0.625
gissi-hf,time-chf,f10_dosaltbb,blbb,0.625
gissi-hf,time-chf,f10_dosaltbb,v3bb,0.625
gissi-hf,time-chf,f10_dosaltbb,v18bb,0.625
gissi-hf,time-chf,f10_dosaltbb,bbadj3,0.625
gissi-hf,time-chf,f10_dosaltbb,dosebbv18,0.5555555555555556
gissi-hf,time-chf,f10_dosaltbb,bb_at_v18,0.625
gissi-hf,time-chf,f10_dosaltbb,dosebbbl,0.5555555555555556
gissi-hf,time-chf,f10_dosaltbb,dosebbv3,0.5555555555555556
gissi-hf,time-chf,f10_dosaltbb,bbadj6,0.625
gissi-hf,time-chf,f10_dosaltbb,dosebbv12,0.5555555555555556
gissi-hf,time-chf,f10_dosaltbb,bb_at_v6,0.625
gissi-hf,time-chf,f10_dosaltbb,v12bb,0.625
gissi-hf,time-chf,f10_dosaltbb,bb_at_v1,0.625
gissi-hf,time-chf,f10_dosaltbb,dosebbv6,0.5555555555555556
gissi-hf,time-chf,f7_colehdl,hdl,0.7777777777777778
gissi-hf,time-chf,f6_uast,ast,0.5555555555555556
gissi-hf,time-chf,f12_latobb,bundeltakblok,0.625
gissi-hf,time-chf,f12_latobb,bundeltakblok_18,0.625
gissi-hf,time-chf,f12_latobb,bundeltakblok_12,0.625
gissi-hf,time-chf,f14_ipervent,lvh,0.625
gissi-hf,time-chf,f14_ipervent,lvh_12,0.625
gissi-hf,time-chf,f14_ipervent,lvh_18,0.625
gissi-hf,time-chf,f5_pesoatt,weight,0.888888888888889
gissi-hf,time-chf,f5_pesoatt,weight6,1.0
gissi-hf,time-chf,f5_pesoatt,weight18,0.888888888888889
gissi-hf,time-chf,f5_pesoatt,weight3,0.888888888888889
gissi-hf,time-chf,f5_pesoatt,weight1,0.888888888888889
gissi-hf,time-chf,f5_pesoatt,weight12,0.888888888888889
gissi-hf,time-chf,f7_alt,alt,0.7777777777777778
gissi-hf,time-chf,f4_dfurosem,v3furo,0.75
gissi-hf,time-chf,f4_dfurosem,dosefurov12,0.888888888888889
gissi-hf,time-chf,f4_dfurosem,v12furo,0.625
gissi-hf,time-chf,f4_dfurosem,dosefurov3,1.0
gissi-hf,time-chf,f4_dfurosem,v1furo,0.625
gissi-hf,time-chf,f4_dfurosem,blfuro,0.625
gissi-hf,time-chf,f4_dfurosem,dosefurov6,0.888888888888889
gissi-hf,time-chf,f4_dfurosem,v18furo,0.625
gissi-hf,time-chf,f4_dfurosem,dosefurobl,0.888888888888889
gissi-hf,time-chf,f4_dfurosem,dosefurov18,0.888888888888889
gissi-hf,time-chf,f4_dfurosem,dosefurov1,0.888888888888889
gissi-hf,time-chf,f4_dfurosem,v6furo,0.625
gissi-hf,time-chf,f13_spirono,dosespirov1,0.625
gissi-hf,time-chf,f13_spirono,dosespirov3,0.625
gissi-hf,time-chf,f13_spirono,dosespirobl,0.625
gissi-hf,time-chf,f13_spirono,spiroadjbl,0.625
gissi-hf,time-chf,f13_spirono,spiroadj3,0.625
gissi-hf,time-chf,f13_spirono,dosespirov18,0.625
gissi-hf,time-chf,f13_spirono,spiroadj1,0.625
gissi-hf,time-chf,f13_spirono,spiroadj6,0.625
gissi-hf,time-chf,f13_spirono,spiroadj12,0.625
gissi-hf,time-chf,f13_spirono,dosespirov6,0.625
gissi-hf,time-chf,f13_spirono,dosespirov12,0.625
gissi-hf,time-chf,f14_desaltac,ace_at_v3,0.625
gissi-hf,time-chf,f14_desaltac,doseacev12,0.625
gissi-hf,time-chf,f14_desaltac,ace_at_v12,0.625
gissi-hf,time-chf,f14_desaltac,ace_at_v6,0.625
gissi-hf,time-chf,f14_desaltac,blace,0.75
gissi-hf,time-chf,f14_desaltac,v3ace,0.75
gissi-hf,time-chf,f14_desaltac,aceadjbl,0.625
gissi-hf,time-chf,f14_desaltac,doseacev3,0.625
gissi-hf,time-chf,f14_desaltac,aceadj12,0.625
gissi-hf,time-chf,f14_desaltac,ace_at_bl,0.625
gissi-hf,time-chf,f14_desaltac,doseacebl,0.625
gissi-hf,time-chf,f14_desaltac,v1ace,0.75
gissi-hf,time-chf,f14_desaltac,ace_at_v1,0.625
gissi-hf,time-chf,f14_desaltac,v12ace,0.75
gissi-hf,time-chf,f14_desaltac,aceadj6,0.625
gissi-hf,time-chf,f14_desaltac,aceadj3,0.625
gissi-hf,time-chf,f14_desaltac,doseacev6,0.625
gissi-hf,time-chf,f14_desaltac,v6ace,0.75
gissi-hf,time-chf,f14_desaltac,aceadj1,0.625
gissi-hf,time-chf,f14_desaltac,doseacev18,0.625
gissi-hf,time-chf,f14_desaltac,doseacev1,0.625
gissi-hf,time-chf,f14_desaltac,v18ace,0.75
gissi-hf,time-chf,f14_desaltac,ace_at_v18,0.625
gissi-hf,time-chf,f4_nitrati,nitratadj6,0.625
gissi-hf,time-chf,f4_nitrati,v6nitrat,0.625
gissi-hf,time-chf,f4_nitrati,nitratadj12,0.625
gissi-hf,time-chf,f4_nitrati,nitratadjbl,0.625
gissi-hf,time-chf,f4_nitrati,v1nitrat,0.625
gissi-hf,time-chf,f4_nitrati,nitratadj3,0.75
gissi-hf,time-chf,f4_nitrati,nitratadj1,0.625
gissi-hf,time-chf,f4_nitrati,v12nitrat,0.625
gissi-hf,time-chf,f4_nitrati,v3nitrat,0.75
gissi-hf,time-chf,f4_nitrati,v18nitrat,0.625
gissi-hf,time-chf,f4_nitrati,blnitrat,0.625
gissi-hf,time-chf,f6_ondeq,pathologischeqinv4v6_18,0.6875000000000001
gissi-hf,time-chf,f6_ondeq,pathologischeqinavli_12,0.8333333333333334
gissi-hf,time-chf,f6_ondeq,pathologischeqiniiiiiavf_18,0.6875000000000001
gissi-hf,time-chf,f6_ondeq,pathologischeqinv4v6,0.6875000000000001
gissi-hf,time-chf,f6_ondeq,pathologischeqinv4v6_12,0.8125000000000001
gissi-hf,time-chf,f6_ondeq,pathologischeqinv2v3_12,0.8333333333333334
gissi-hf,time-chf,f6_ondeq,pathologischeqinv2v3_18,0.7083333333333334
gissi-hf,time-chf,f6_ondeq,pathologischeqiniiiiiavf_12,0.8125000000000001
gissi-hf,time-chf,f6_ondeq,pathologischeqinavli_18,0.7083333333333334
gissi-hf,time-chf,f6_ondeq,pathologischeqinv2v3,0.7083333333333334
gissi-hf,time-chf,f6_ondeq,pathologischeqinavli,0.7083333333333334
gissi-hf,time-chf,f6_ondeq,pathologischeqiniiiiiavf,0.6875000000000001
gissi-hf,time-chf,f12_bbranca,bundeltakblok,0.625
gissi-hf,time-chf,f12_bbranca,bundeltakblok_18,0.625
gissi-hf,time-chf,f12_bbranca,bundeltakblok_12,0.625
gissi-hf,time-chf,ipervent,lvh,0.75
gissi-hf,time-chf,ipervent,lvh_12,0.625
gissi-hf,time-chf,ipervent,lvh_18,0.625
gissi-hf,time-chf,f7_dfurosem,v3furo,0.625
gissi-hf,time-chf,f7_dfurosem,dosefurov12,0.888888888888889
gissi-hf,time-chf,f7_dfurosem,v12furo,0.625
gissi-hf,time-chf,f7_dfurosem,dosefurov3,0.888888888888889
gissi-hf,time-chf,f7_dfurosem,v1furo,0.625
gissi-hf,time-chf,f7_dfurosem,blfuro,0.625
gissi-hf,time-chf,f7_dfurosem,dosefurov6,0.888888888888889
gissi-hf,time-chf,f7_dfurosem,v18furo,0.75
gissi-hf,time-chf,f7_dfurosem,dosefurobl,0.888888888888889
gissi-hf,time-chf,f7_dfurosem,dosefurov18,1.0
gissi-hf,time-chf,f7_dfurosem,dosefurov1,0.888888888888889
gissi-hf,time-chf,f7_dfurosem,v6furo,0.625
gissi-hf,time-chf,f9_descopen,statin_at_bl,0.875
gissi-hf,time-chf,f9_descopen,statin_dose_bl,0.625
gissi-hf,time-chf,f9_descopen,statin01,0.625
gissi-hf,time-chf,f3_sartani,doseatiiv3,0.625
gissi-hf,time-chf,f3_sartani,atiiadj6,0.625
gissi-hf,time-chf,f3_sartani,v3atii,0.625
gissi-hf,time-chf,f3_sartani,doseatiiv12,0.625
gissi-hf,time-chf,f3_sartani,atiiadj1,0.75
gissi-hf,time-chf,f3_sartani,blatii,0.625
gissi-hf,time-chf,f3_sartani,v18atii,0.625
gissi-hf,time-chf,f3_sartani,atii_at_v3,0.875
gissi-hf,time-chf,f3_sartani,atii_at_bl,0.875
gissi-hf,time-chf,f3_sartani,atiiadj12,0.625
gissi-hf,time-chf,f3_sartani,atiiadjbl,0.625
gissi-hf,time-chf,f3_sartani,atii_at_v18,0.875
gissi-hf,time-chf,f3_sartani,atii_at_v6,0.875
gissi-hf,time-chf,f3_sartani,v1atii,0.75
gissi-hf,time-chf,f3_sartani,atii_at_v1,1.0
gissi-hf,time-chf,f3_sartani,v6atii,0.625
gissi-hf,time-chf,f3_sartani,doseatiiv1,0.75
gissi-hf,time-chf,f3_sartani,atiiadj3,0.625
gissi-hf,time-chf,f3_sartani,atii_at_v12,0.875
gissi-hf,time-chf,f3_sartani,doseatiiv18,0.625
gissi-hf,time-chf,f3_sartani,doseatiibl,0.625
gissi-hf,time-chf,f3_sartani,doseatiiv6,0.625
gissi-hf,time-chf,f3_sartani,v12atii,0.625
gissi-hf,time-chf,sartani,doseatiiv3,0.625
gissi-hf,time-chf,sartani,atiiadj6,0.625
gissi-hf,time-chf,sartani,v3atii,0.625
gissi-hf,time-chf,sartani,doseatiiv12,0.625
gissi-hf,time-chf,sartani,atiiadj1,0.625
gissi-hf,time-chf,sartani,blatii,0.75
gissi-hf,time-chf,sartani,v18atii,0.625
gissi-hf,time-chf,sartani,atii_at_v3,0.875
gissi-hf,time-chf,sartani,atii_at_bl,1.0
gissi-hf,time-chf,sartani,atiiadj12,0.625
gissi-hf,time-chf,sartani,atiiadjbl,0.75
gissi-hf,time-chf,sartani,atii_at_v18,0.875
gissi-hf,time-chf,sartani,atii_at_v6,0.875
gissi-hf,time-chf,sartani,v1atii,0.625
gissi-hf,time-chf,sartani,atii_at_v1,0.875
gissi-hf,time-chf,sartani,v6atii,0.625
gissi-hf,time-chf,sartani,doseatiiv1,0.625
gissi-hf,time-chf,sartani,atiiadj3,0.625
gissi-hf,time-chf,sartani,atii_at_v12,0.875
gissi-hf,time-chf,sartani,doseatiiv18,0.625
gissi-hf,time-chf,sartani,doseatiibl,0.75
gissi-hf,time-chf,sartani,doseatiiv6,0.625
gissi-hf,time-chf,sartani,v12atii,0.625
gissi-hf,time-chf,f6_pesoatt,weight,0.888888888888889
gissi-hf,time-chf,f6_pesoatt,weight6,0.888888888888889
gissi-hf,time-chf,f6_pesoatt,weight18,0.888888888888889
gissi-hf,time-chf,f6_pesoatt,weight3,0.888888888888889
gissi-hf,time-chf,f6_pesoatt,weight1,0.888888888888889
gissi-hf,time-chf,f6_pesoatt,weight12,1.0
gissi-hf,time-chf,spirono,dosespirov1,0.625
gissi-hf,time-chf,spirono,dosespirov3,0.625
gissi-hf,time-chf,spirono,dosespirobl,0.75
gissi-hf,time-chf,spirono,spiroadjbl,0.75
gissi-hf,time-chf,spirono,spiroadj3,0.625
gissi-hf,time-chf,spirono,dosespirov18,0.625
gissi-hf,time-chf,spirono,spiroadj1,0.625
gissi-hf,time-chf,spirono,spiroadj6,0.625
gissi-hf,time-chf,spirono,spiroadj12,0.625
gissi-hf,time-chf,spirono,dosespirov6,0.625
gissi-hf,time-chf,spirono,dosespirov12,0.625
gissi-hf,time-chf,f14_emoglob,hb18,0.888888888888889
gissi-hf,time-chf,f14_emoglob,hb,0.888888888888889
gissi-hf,time-chf,f14_emoglob,hb12,0.888888888888889
gissi-hf,time-chf,f14_emoglob,hb6,0.888888888888889
gissi-hf,time-chf,f4_sartani,doseatiiv3,0.75
gissi-hf,time-chf,f4_sartani,atiiadj6,0.625
gissi-hf,time-chf,f4_sartani,v3atii,0.75
gissi-hf,time-chf,f4_sartani,doseatiiv12,0.625
gissi-hf,time-chf,f4_sartani,atiiadj1,0.625
gissi-hf,time-chf,f4_sartani,blatii,0.625
gissi-hf,time-chf,f4_sartani,v18atii,0.625
gissi-hf,time-chf,f4_sartani,atii_at_v3,1.0
gissi-hf,time-chf,f4_sartani,atii_at_bl,0.875
gissi-hf,time-chf,f4_sartani,atiiadj12,0.625
gissi-hf,time-chf,f4_sartani,atiiadjbl,0.625
gissi-hf,time-chf,f4_sartani,atii_at_v18,0.875
gissi-hf,time-chf,f4_sartani,atii_at_v6,0.875
gissi-hf,time-chf,f4_sartani,v1atii,0.625
gissi-hf,time-chf,f4_sartani,atii_at_v1,0.875
gissi-hf,time-chf,f4_sartani,v6atii,0.625
gissi-hf,time-chf,f4_sartani,doseatiiv1,0.625
gissi-hf,time-chf,f4_sartani,atiiadj3,0.75
gissi-hf,time-chf,f4_sartani,atii_at_v12,0.875
gissi-hf,time-chf,f4_sartani,doseatiiv18,0.625
gissi-hf,time-chf,f4_sartani,doseatiibl,0.625
gissi-hf,time-chf,f4_sartani,doseatiiv6,0.625
gissi-hf,time-chf,f4_sartani,v12atii,0.625
gissi-hf,time-chf,f8_sartani,doseatiiv3,0.625
gissi-hf,time-chf,f8_sartani,atiiadj6,0.625
gissi-hf,time-chf,f8_sartani,v3atii,0.625
gissi-hf,time-chf,f8_sartani,doseatiiv12,0.625
gissi-hf,time-chf,f8_sartani,atiiadj1,0.625
gissi-hf,time-chf,f8_sartani,blatii,0.625
gissi-hf,time-chf,f8_sartani,v18atii,0.625
gissi-hf,time-chf,f8_sartani,atii_at_v3,0.875
gissi-hf,time-chf,f8_sartani,atii_at_bl,0.875
gissi-hf,time-chf,f8_sartani,atiiadj12,0.625
gissi-hf,time-chf,f8_sartani,atiiadjbl,0.625
gissi-hf,time-chf,f8_sartani,atii_at_v18,0.875
gissi-hf,time-chf,f8_sartani,atii_at_v6,0.875
gissi-hf,time-chf,f8_sartani,v1atii,0.625
gissi-hf,time-chf,f8_sartani,atii_at_v1,0.875
gissi-hf,time-chf,f8_sartani,v6atii,0.625
gissi-hf,time-chf,f8_sartani,doseatiiv1,0.625
gissi-hf,time-chf,f8_sartani,atiiadj3,0.625
gissi-hf,time-chf,f8_sartani,atii_at_v12,0.875
gissi-hf,time-chf,f8_sartani,doseatiiv18,0.625
gissi-hf,time-chf,f8_sartani,doseatiibl,0.625
gissi-hf,time-chf,f8_sartani,doseatiiv6,0.625
gissi-hf,time-chf,f8_sartani,v12atii,0.625
gissi-hf,time-chf,f4_asa,aspirin_v12,0.875
gissi-hf,time-chf,f4_asa,aspirin_v3,1.0
gissi-hf,time-chf,f4_asa,aspirin_v6,0.875
gissi-hf,time-chf,f4_asa,aspirin_bl,0.875
gissi-hf,time-chf,f4_asa,aspirin_v18,0.875
gissi-hf,time-chf,f4_asa,aspirin_v1,0.875
gissi-hf,time-chf,f8_nitrati,nitratadj6,0.625
gissi-hf,time-chf,f8_nitrati,v6nitrat,0.625
gissi-hf,time-chf,f8_nitrati,nitratadj12,0.625
gissi-hf,time-chf,f8_nitrati,nitratadjbl,0.625
gissi-hf,time-chf,f8_nitrati,v1nitrat,0.625
gissi-hf,time-chf,f8_nitrati,nitratadj3,0.625
gissi-hf,time-chf,f8_nitrati,nitratadj1,0.625
gissi-hf,time-chf,f8_nitrati,v12nitrat,0.625
gissi-hf,time-chf,f8_nitrati,v3nitrat,0.625
gissi-hf,time-chf,f8_nitrati,v18nitrat,0.625
gissi-hf,time-chf,f8_nitrati,blnitrat,0.625
gissi-hf,time-chf,f5_urice,uric_acid_bl,0.888888888888889
gissi-hf,time-chf,f5_urice,uric_acid_v1,0.888888888888889
gissi-hf,time-chf,f5_urice,uric_acid_v6,1.0
gissi-hf,time-chf,f5_urice,uric_acid_v18,0.888888888888889
gissi-hf,time-chf,f5_urice,uric_acid_v12,0.888888888888889
gissi-hf,time-chf,f5_urice,uric_acid_v3,0.888888888888889
gissi-hf,time-chf,f4_openstat,statin_at_bl,0.625
gissi-hf,time-chf,f4_openstat,statin_dose_bl,0.625
gissi-hf,time-chf,f4_openstat,statin01,0.875
gissi-hf,time-chf,f9_altdiu,diuadj12,0.625
gissi-hf,time-chf,f9_altdiu,diuadj6,0.625
gissi-hf,time-chf,f9_altdiu,diuadjbl,0.625
gissi-hf,time-chf,f9_altdiu,diuadj3,0.625
gissi-hf,time-chf,f9_altdiu,diuadj1,0.625
gissi-hf,time-chf,f10_furosemi,v3furo,0.875
gissi-hf,time-chf,f10_furosemi,dosefurov12,0.625
gissi-hf,time-chf,f10_furosemi,v12furo,0.875
gissi-hf,time-chf,f10_furosemi,dosefurov3,0.625
gissi-hf,time-chf,f10_furosemi,v1furo,0.875
gissi-hf,time-chf,f10_furosemi,blfuro,0.875
gissi-hf,time-chf,f10_furosemi,dosefurov6,0.625
gissi-hf,time-chf,f10_furosemi,v18furo,0.875
gissi-hf,time-chf,f10_furosemi,dosefurobl,0.625
gissi-hf,time-chf,f10_furosemi,dosefurov18,0.625
gissi-hf,time-chf,f10_furosemi,dosefurov1,0.625
gissi-hf,time-chf,f10_furosemi,v6furo,0.875
