Study Name,Study Type,Study Design,Study Objective,Population Location,Institute,Administrator,Administrator Email Address,Study Contact Person,Study Contact Person Email Address,Number of Participants,Start date,End date,Ongoing,Anonymisation/Pseudonymization technique,Frequency of data collection,Language,Dataset Format,Coding system,Interventions,Comparator,Mixed Sex,Morbidity,Race/Ethnicity,Age distribution,Enrolled with Diabetes,Enrolled with CVD (%),Sex inclusion criterion,Health status inclusion criterion,clinically relevant exposure inclusion criterion,age group inclusion criterion,BMI range inclusion criterion,ethnicity inclusion criterion,family status inclusion criterion,hospital patient inclusion criterion,use of medication inclusion criterion,health  status exclusion criterion,bmi range exclusion criterion,limited life expectancy exclusion criterion,need for surgery exclusion criterion,surgical procedure history,clinically relevant exposure exclusion criterion,primary outcome specification,secondary outcome specification,References,Part of Study,Number of Variables,Type of data collection
PNH-N1,Change to a healthier lifestyle by advice,observational design,"Personalized sustainable behavior change: N-of-1 experiments. Objectives are to promote individualized, sustainable behaviour change (physical activity, diet pattern and weight reduction) via a blended care support strategy (via telephone counselling, based on intensive, non-invasive personalized data measurement and behavioural theories). The focus will be establishing benefit for the participant, rather than the superiority of a particular treatment. The trajectory for individuals will differ between participants who achieved their goals successfully and participants who did not successfully achieve their goals. The trajectory for the first group will focus on identifying which BCT’s were useful, how the participants feel and what they perceive as the (health/social) gains whereas the coach trajectory for the latter group will focus on identifying why participants did not successfully achieve their goals (e.g., 1. motivational problem, 2. the complexity of the situation, 3. mood/how they feel). ",Netherlands,Netherlands Organization for Applied Scientific Research TNO,Martien Caspers,martien.caspers@tno.nl,Willem van den Brink,willem.vandenbrink@tno.nl,16,10/1/2020,7/21/2021,no,,"screen_baseline_followup (month 0-10). Continuous measurements and telephone counseling during 10 months followup (eg. bodyweight, steps, heartrate, and foodintake).",dutch;english,"excel, csv and json",Own coding system,"Intervention consists of individually tailored lifestyle advice in time by telephone counseling, based on input from the different measurements (weight, activity and diet) and behavioural theories. Month 1&2: baseline measurement, no advice. Month 3&4: weekly advice sessions. Month 5&6: 2 weekly advice sessions. Month 7&8: 4 weekly advice sessions. Month 9&10: no advice, free to stop. ","visits: Baseline time, follow-up month 1,  follow-up month 2",male=31.3%; female=68.8%,at risk for Type 2 Diabetes Mellitus,European;Dutch,56.7 ± 7.3 years,,,male and female,at risk for Type 2 Diabetes Mellitus,Participants older than 18 years;BMI > 25kg/m2; at risk for diabetes type 2; willingness to make lifestyle changes; Participants who have access at home to wireless internet to connect the wireless weighing scales and who have access to a computer/touchpad/phone with access to internet. ,>18 years old,BMI > 25kg/m2,,,,,,,,,,,"The primary outcome measures are: 1) diet pattern, 2) physical activity, and 3) weight loss.Diet pattern will be measured by applying ecological momentary assessment (EMA). The EMA consists of a diary and questionnaire: i.e., the diary used via a mobile app (this app is referred to as the “how am I”  app and is currently used in the fatsecret!/ gluco insight study, the diary will be limited to ‘suikerhoudende dranken’ en ‘ongezonde keuzes’) and combined with a questionnaire Eetscore (we will only use the questions about ‘suikerhoudende dranken’ en ‘ongezonde keuzes’ of this survey). We will limit in this study nutrition intake to suikerhoudende dranken’ en ‘ongezonde keuzes’ because these products are positively related with weight gain/obesity (Ruanpeng et al., 2017; Greenwood & Stanford, 2008). Because of the intense character of the daily diary, we will measure nutrition intake with this diary for 24 hours once a week, on a random day. This is during the 8 month period, including the 2 month baseline. In addition, we will also ask whether this is a representative day. In addition, we will use the Eetscore survey which will provide a score on 2 of the 16 important guidelines for a healthy nutrition, and measures nutrition intake on the micro and macro level. We will ask the participants to fill in this questionnaire once a week (about the last week), in a period of 8 months. Physical activity will be measured continuingly with Fitbit activity trackers that don’t need to be charged and the data is automatically collected via an internet connection. Thus, we will have daily data for a period of 8 months regarding physical activity.  Weight loss will be measured with a Fitbit ‘connected weighing scale’ which is connected to the internet to enable automatic data collection. Participants are asked to weigh themselves once a week with this scale, during a period of 8 months.","As a secondary outcome, we will also measure plan adherence with respect to these three outcomes. Therefore, participants will complete some additional questions using EMA, and an additional free-text information will be provided (see Kwasnicka et al., 2017).  ",,,,
DP5,"Digital Biomarkers for Personalized Nutrition: Predicting Meal Moments and Interstitial Glucose with Non-Invasive, Wearable Technologies",observational design,"The primary goal is to obtain and investigate the added value of real-life high quality contextual data (e.g. food intake, physical activity, sleep, wellbeing) to understand and predict the fluctuations in individual glucose levels. The secondary objective is to define what metrics of glucose profiles can best be used to personalize lifestyle recommendations with respect to food intake and physical activity.",Netherlands,Netherlands Organization for Applied Scientific Research TNO,Martien Caspers,martien.caspers@tno.nl,Willem van den Brink,willem.vandenbrink@tno.nl,24,3/27/2019,4/29/2019,no,,"baseline_13day-period_end. Continuous measurements during 13 days (eg: steps, physact, heartrate, sleep quality & quantity, glucose, wellbeing/wellfare, foodintake)",dutch;english,"excel, csv and json",Own coding system,"On the first morning of the 13 day study-period the participants were asked to perform an Oral Glucose Tolerance Test (OGTT, after 10 hr overnight fasting). The OGTT is rather a challange then an intervention in order to measure the glycemic resilience. During the remaining days of the study, the participants follow their normal dietary pattern.","Fasting periods (eg, during the night)",male=29.2%; female=70.8%,,,,,,male and female,,A researcher in the field of nutrition or health: Aged between 20 – 55 and In possession of a Smartphone running on iOS or Android. Able and willing to sign  the informed consent form. Willing to comply with all study procedures,<= 55 and  >= 20  years old,,,,,,"Diabetes type 2 patients, and/or people with a finger-prick glucose value ≥ 7.8 mmol/l during screening; BMI > 25;Under treatment for neurological or psychiatric complaints, including eating disorders;Specific dietary preferences, including vegan, raw food, paleo. Vegetarian, pescatarians and flexitarians can participate in the study; Coeliac disease or gluten intolerance; Skin allergy, eczema or known sensitivity for plasters; Performs intensive sport activities more than 6 hours per week; Pregnant or lactating women",BMI > 25,,,,,"Daily food and drink intake: this will be monitored with a food intake application (Fatsecret app) which is integrated in the HowAmI app  that can be accessed via smartphone or desktop. The Fatsecret app is based on the nutrition assessment method ‘food diary record’. Subjects report their daily food intake, incl. breakfast, lunch, dinner, snacks and drinks, immediately after consumption. Fatsecret converts selected food items into energy and macro- and micronutrients. This allows for collecting not only types of foods consumed, but also number of calories, fat, carbs, sugar, proteins, etc. Due to integration of the Fatsecret app in the HowAmI app participants can add timestamps to  all their meals/snacks to register time of consumption; Daily glucose levels: daily glucose levels will be monitored using a continuous glucose monitoring device, i.e. the FreeStyle® Libre™ (FSL) produced by Abbott (CE approved). The FSL is a factory-calibrated interstitial glucose monitoring system, intended to be used instead of self-monitored blood glucose. The FSL sensor is placed on the skin (often upper arm) with a small cannula (5 mm) inserted in the interstitial fluid. A single sensor has a 12 hour initialization period and can measure glucose every 15 minutes for up to 14 days. The FSL sensor has been demonstrated to be feasible in human subjects and provide an accurate estimation of blood glucose. Parameters obtained from the glucose sensor will be: Fasting glucose levels (e.g. in the morning after 8 hours of fasting, based on food intake reports); Glucose response profiles / postprandial glucose levels (peak, slopes, area under the curve); Wellbeing: this will be measured via visual analogue scales (VAS) / ecological momentary assessment (EMA) questionnaire, including five questions for ‘feeling energetic - tired, ‘feeling focused – distracted’, ‘feeling positive – negative’, ‘feeling motivated – unmotivated’, ‘feeling relaxed – stressed’. Filling in takes max. 30 seconds. This questionnaire will be administered four times per day; once after breakfast, once after lunch, once 4 hours after lunch (end of working day) and once two hours after dinner. The HowAmI app will send out notifications regarding the wellbeing questionnaires and reminders regarding registration of food intake; Physical Activity & Sleep: using the Philips ELAN sensor physical activity and sleep patterns will be measured by an optical heart rate sensor which measures the continuous heartrate. The combination of heartrate and built-in accelerometer gives an indication for the activity pattern. Also number of active minutes, hours of sleep and other metrics can be gained from the Philips ELAN sensor.","Health/lifestyle behavior will be assessed at baseline, to get insight in demographics, general health, eating behavior, diet, physical activity and sleep; Satiety questionnaire after consumption of the OGTT. The questionnaire includes questions about willingness to eat or drink and overall wellbeing; User experiences with study participation will be measured at the end of the study; Overall, the questionnaire includes self-constructed scales that measure user experience with the research in general and self-monitoring devices.",,,,
HCM,established Heart failure,observational design,,,Queen's University Belfast,,,Dr Chris Watson,chris.watson@qub.ac.uk,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORUZ,Cardiovascular diseases/Chronic kidney disease but no structural/functional heart disease,observational design,"The primary objective of the HORUZ study is to associate fluid status with kidney function decline in patients with CKD stage 3 (CKD-EPI eGFR 60-30ml/min), 4 (30-15ml/min) and 5 (< 15 ml/min) and compare them to an age- and sex- matched healthy control group. Primary outcome is the mean eGFR decline which will be compared between the FO-group and the non-FO-group. The secondary objective is to identify the clinical factors associated with FO during a longitudinal follow up. ",Belgium,IMEC,John Morales Tellez,John.MoralesTellez@imec.nl,John Morales Tellez,John.MoralesTellez@imec.nl,71,2019,2020,no,,One session,Dutch,excel and csv,Own coding system,,,Male=58%;Female=42%,chronic Kideny Disease on dialysis ,,72.47 ± 10.72,36,39,,chronic Kideny Disease on dialysis ,,,,,,,,,,,,,,"mean eGFR decline which will be compared between the FO-group and the non-FO-group. BIS-measured FO will be expressed as overhydration (OH) normalized to ECW and noted as a percentage of ECW (OH/ECW).6,44 FO is defined as an OH/ECW ≥ 7% (or an absolute OH ≥ 1.1 L).","the central volume status (measured by echocardiography and thoracic BIS in combination with photoplethysmography); blood pressure, the cardiac systolic and diastolic function; Cardiovascular events; hospitalizations; inflammatory- and nutrition status; and quality of life between CKD stages 3, 4 and 5",,,4,
Interval,randomized controlled trial of whole blood donors,randomized controlled trial,Main Objective: Blood donors are randomly assigned to different inter-donation intervals (men: 12 vs 10 vs 8 weeks; women: 16 vs 14 vs 12 weeks) to assess whether inter-donation intervals can be decreased to optimize blood supply while still maintaining the physical and mental health of the donors; Sub-Objective: Examine whether inter-donation intervals can be adjusted based on each donor’s ability to give blood safely.,United Kingdom,Human Technopole Foundation,Gianmauro Cuccuru,gianmauro.cuccuru@fht.org,Gianmauro Cuccuru,gianmauro.cuccuru@fht.org,45263,1/6/2012,1/6/2014,no,,"Baseline, month 6, month 12, month 18, and month 24. Hard endpoint: 2 years",English,"CSV (Phenotypes = csv; Proteomics = csv for Olink, csv and ADAT for SomaLogic; Metabolomics = csv)",Own coding system,None,,Male=49.6% and Female=50.4%,"(Serious) adverse events diagnosed at the hospital: hearth attack, stroke, angina, hearth failure; falls; transport accidents; Diagnoses and symptoms of low iron",British; Other European descent; Non-European descent; mixed or unknown,43.01 ± 14.27 (at baseline),,,male and female,Be generally fit and well (for blood donation criteria),NHS Blood and Transplant (NSHBT) blood donors,≥ 18 years old,,,,,Any type of cancer; HVI positive; Hearth conditions (some); Hepatitis B carrier; Hepatitis C carrier,,,,Organ transplant,"Received blood, platelets, plasma or any other blood products after 1 January 1980",Number of blood donations,Donor quality of life (according to Short Form Health Survey); number of deferrals caused by low haemoglobin (and other factors); measurements of iron status; test of cognitive function; measurement of physical activity; donor attitude via questionnaire; cost effectiveness (economic analysis of different strategies for blood supply to the NHS),,,,,
Kidney-transplant-cohort,Cardiovascular diseases/Chronic kidney disease but no structural/functional heart disease,observational design,,,Maastricht University Medical Centre,John Morales Tellez,John.MoralesTellez@imec.nl,Christof Peters,christof.peters@mumc.nl,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUPS,population based,observational design,"The Lufthansa Prevention Study (LUPS) study is a prospective observation of a healthy worker cohort to identify early changes in metabolism leading to the Metabolic Syndrome (MetS) and to analyze their relation to behavioral factors like nutrition, physical activity, psychological status, and to underlying genetic conditions.",,UKA,John Morales Tellez,John.MoralesTellez@imec.nl,Marlo Verket,mverket@ukaachen.de,1962,,,no,,,english;german,CSV,,,,,,,,,,,,,<= 60 and  >= 25  years old,,,,,,Type 1 Diabetes or Type 2 Diabetes,,,,,,"Metabolic Syndrome, Type 2 Diabetes","assessing risk factors, e.g. HDL, BMI, Blood Pressure, FPG",https://www.thieme-connect.com/products/ejournals/abstract/10.1055/a-0767-6361,,59,
MaastrichtStudy,population based,observational design,"to elucidate the complex underlying pathophysiology of T2DM and the interaction with other chronic diseases. This requires not only a large population-based subset of T2DM patients, but also a population-based cohort of individuals without T2DM and individuals at high risk to develop T2DM. Such studies are currently not available and The Maastricht Study intends to fill this gap. It aims to identify determinants of the development and progression of (a) T2DM; (b) its classic complications (cardiovascular disease, retinopathy, neuropathy and nephropathy); and (c) its emerging comorbidities, such as cognitive decline, depression, and gastrointestinal, musculoskeletal and respiratory diseases.","Eligible for participation are all individuals aged between 40 and 75 years and living in the southern part of the Netherlands (municipalities Maastricht, Margraten-Eijsden, Meersen and Valkenburg; Maastricht and Heuvelland in the province of Limburg). The study population will be enriched with T2DM participants for reasons of efficiency",Maastricht University Medical Centre,tbd,,Christof Peters,christof.peters@mumc.nl,9181,Nov-10,,,,"baseline visit, follow up questionaires ( anual/ biennial)",dutch;english,excel/CSV/SPSS,Own coding system,,,,"T2DM with or without comorbidity, control subjects without T2DM, but might have other comorbidities",,,,,,,,  <= 75 and  >= 40  years old,,,,,,some enrichment with patients outside of the defined geopgraphical area with Type 2 Diabetes Mellitus,,,,,,"
Type 2 Diabetes Mellitus;Type 2 Diabetes Mellitus classic complications;cardiovascular disease;retinopathy;neuropathy; nephropathy and its emerging comorbidities, such as cognitive decline, depression, and gastrointestinal, musculoskeletal and respiratory diseases.",,,,,
PANACHE,established Heart failure,randomized controlled trial,,,BAYER,,,Karen Paraschin,karen.paraschin@bayer.com,305,,,no,,,,,,,,,heart failure with reduced ejection fraction,,,,,male and female,heart failure with reduced ejection fraction,All individuals had non-fasting blood glucose in the normal range (<7.8 mmol/L); excluding unknown diabetes., <= 51 and  >= 27  years old,,,,,,,,,,,,,,,,,
PARABLE,early risk,observational design,,,University College Dublin,,,Kenneth McDonald,kenneth.mcdonald@ucd.ie,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARADIGM ,established Heart failure,randomized controlled trial,,,University of Glasgow,,,Alasdair Henderson,Alasdair.Henderson@glasgow.ac.uk,8442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREDICTOR,population based,observational design,Population-based cross-sectional study to assess the prevalence of both preclinical and clinical heart failure (HF) in the elderly.,Italy,Mario Negri Institute for Pharmacological Research,Enrico Nicolis,enrico.nicolis@marionegri.it,Enrico Nicolis; Martina Colombo,enrico.nicolis@marionegri.it; martina.colombo@marionegri.it,1452,2007,2010,no, ,"Baseline, follow-up 6.6 years (mean) from administrative data",Italian,SPSS,Own coding system,,,male=51.7%;female=41.3%,Heart failure,,72.9 ± 5, , ,male and female, , ,<= 84 and >= 65 years old,,,,,, , , , , , , , ,,,,
QUB-HF,established Heart failure,observational design,,,Queen's University Belfast,,,Dr Chris Watson,chris.watson@qub.ac.uk,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen-of-Hearts,early risk,observational design,,,Maastricht University Medical Centre,,,Christof Peters,christof.peters@mumc.nl,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RotterdamStudyCohort1,population based,observational design,"The study aims to investigate the epidemiology of cardiometabolic disorders, including coronary heart disease (CHD), heart failure (HF), atrial fibrillation (AF), type 2 diabetes (T2D), and metabolic syndrome. It focuses on understanding the etiology, prediction, and prognosis of these conditions, providing sex- and gender-specific insights across the spectrum of cardiometabolic disorders.","Rotterdam, Netherlands",Erasmus MC University Medical Center,Maryam Kavousi,m.kavousi@erasmusmc.nl,Maryam Kavousi; Ali Farzaneh,m.kavousi@erasmusmc.nl; a.farzanehalanagh@erasmusmc.nl,14926,5/7/1989,,yes,,"Baseline and follow-up in-person examinations every 3 to 6 years, including home interviews and in-facility medical assessments. Continuous follow-up for health outcomes via automated linkage with general practitioners, pharmacy records, hospital discharge letters, national cancer registry, and other health databases. Repeated laboratory measurements and imaging (MRI, CT, ultrasound) as scheduled per sub-study. ",Dutch (primary);English ( For scientific documentation ),SPSS,Own coding system,,,male=41.2%;female=58.8%,myocardial infarction; heart failure; atrial fibrillation; stroke; Diabetes;  metabolic diseases; Neurodegenerative and psychiatric disorders,European descent,65.8 ± 10.4,,,,,, <= 76.2 and  >= 55.4  years old,,,,,,,,,,percutaneous coronary intervention (PCI);coronary artery bypass graft (CABG),,"The Rotterdam Study does not have a single primary outcome due to its broad, multi-disease, population-based design. Instead, it focuses on multiple major outcomes related to chronic and age-related diseases. These include incident cardiovascular events (e.g., myocardial infarction, heart failure, atrial fibrillation), neurodegenerative diseases (e.g., dementia, Parkinson’s disease), diabetes, cancer, respiratory diseases, and mortality","quality of life assessments;disability;functional decline;mental health outcomes; sleep quality; lifestyle factors;Long-term morbidity; mortality across multiple domains (including cardiovascular, neurological, metabolic, oncological) are also evaluated. ",,,,
RotterdamStudyCohort2,population based,observational design,"The study aims to investigate the epidemiology of cardiometabolic disorders, including coronary heart disease (CHD), heart failure (HF), atrial fibrillation (AF), type 2 diabetes (T2D), and metabolic syndrome. It focuses on understanding the etiology, prediction, and prognosis of these conditions, providing sex- and gender-specific insights across the spectrum of cardiometabolic disorders.","Rotterdam, Netherlands",Erasmus MC University Medical Center,Maryam Kavousi,m.kavousi@erasmusmc.nl,Maryam Kavousi; Ali Farzaneh,m.kavousi@erasmusmc.nl; a.farzanehalanagh@erasmusmc.nl,14926,5/7/1989,,yes,,"Baseline and follow-up in-person examinations every 3 to 6 years, including home interviews and in-facility medical assessments. Continuous follow-up for health outcomes via automated linkage with general practitioners, pharmacy records, hospital discharge letters, national cancer registry, and other health databases. Repeated laboratory measurements and imaging (MRI, CT, ultrasound) as scheduled per sub-study. ",Dutch (primary);English ( For scientific documentation ),SPSS,Own coding system,,,male=41.2%;female=58.8%,myocardial infarction; heart failure; atrial fibrillation; stroke; Diabetes;  metabolic diseases; Neurodegenerative and psychiatric disorders,European descent,65.8 ± 10.4,,,,,, <= 76.2 and  >= 55.4  years old,,,,,,,,,,percutaneous coronary intervention (PCI);coronary artery bypass graft (CABG),,"The Rotterdam Study does not have a single primary outcome due to its broad, multi-disease, population-based design. Instead, it focuses on multiple major outcomes related to chronic and age-related diseases. These include incident cardiovascular events (e.g., myocardial infarction, heart failure, atrial fibrillation), neurodegenerative diseases (e.g., dementia, Parkinson’s disease), diabetes, cancer, respiratory diseases, and mortality","quality of life assessments;disability;functional decline;mental health outcomes; sleep quality; lifestyle factors;Long-term morbidity; mortality across multiple domains (including cardiovascular, neurological, metabolic, oncological) are also evaluated. ",,,,
RotterdamStudyCohort3,population based,observational design,"The study aims to investigate the epidemiology of cardiometabolic disorders, including coronary heart disease (CHD), heart failure (HF), atrial fibrillation (AF), type 2 diabetes (T2D), and metabolic syndrome. It focuses on understanding the etiology, prediction, and prognosis of these conditions, providing sex- and gender-specific insights across the spectrum of cardiometabolic disorders.","Rotterdam, Netherlands",Erasmus MC University Medical Center,Maryam Kavousi,m.kavousi@erasmusmc.nl,Maryam Kavousi; Ali Farzaneh,m.kavousi@erasmusmc.nl; a.farzanehalanagh@erasmusmc.nl,14926,5/7/1989,,yes,,"Baseline and follow-up in-person examinations every 3 to 6 years, including home interviews and in-facility medical assessments. Continuous follow-up for health outcomes via automated linkage with general practitioners, pharmacy records, hospital discharge letters, national cancer registry, and other health databases. Repeated laboratory measurements and imaging (MRI, CT, ultrasound) as scheduled per sub-study. ",Dutch (primary);English ( For scientific documentation ),SPSS,Own coding system,,,male=41.2%;female=58.8%,myocardial infarction; heart failure; atrial fibrillation; stroke; Diabetes;  metabolic diseases; Neurodegenerative and psychiatric disorders,European descent,65.8 ± 10.4,,,,,, <= 76.2 and  >= 55.4  years old,,,,,,,,,,percutaneous coronary intervention (PCI);coronary artery bypass graft (CABG),,"The Rotterdam Study does not have a single primary outcome due to its broad, multi-disease, population-based design. Instead, it focuses on multiple major outcomes related to chronic and age-related diseases. These include incident cardiovascular events (e.g., myocardial infarction, heart failure, atrial fibrillation), neurodegenerative diseases (e.g., dementia, Parkinson’s disease), diabetes, cancer, respiratory diseases, and mortality","quality of life assessments;disability;functional decline;mental health outcomes; sleep quality; lifestyle factors;Long-term morbidity; mortality across multiple domains (including cardiovascular, neurological, metabolic, oncological) are also evaluated. ",,,,
SFDT1,early risk,observational design,"Our primary objective is to identify new risk factors associated with Major adverse cardiovascular events in patients with T1D; The secondary objectives are, in patients with T1D, to:   1)Evaluate classical risk factors associated with incident MACE in patients with T1D; 2)Evaluate the role of GV (including hypoglycaemia) in health events (complications, QoL, mortality); 3) Evaluate the relationship between microangiopathy and macrovascular complications;  4) Identify and characterise novel biomarkers and metabolic pathways associated to health events (complications, QoL, mortality); 5) Identify psychosocial factors associated with health events (complications, QoL, mortality); 6) Identify the impacts of therapeutic innovations and care on metabolic control and diabetic  complications; 7)Identify the impact of medications on metabolic control and diabetic complication; 8) Assessing the economic burden of T1D and its complications using various perspePROectives and according to both patients’ clinical and socio-economic characteristics and their health care pathways. To reach these objectives, we will build a robust research resource that can facilitate the exploration of biological, clinical, social, and environmental determinants of T1D and its  complications; also beyond this study with a health data warehouse datastore format.",France,Francophone Foundation for Diabetes Research,Jean-Pierre Riveline,jeanpierre.riveline@aphp.fr,Jean-Pierre Riveline,jeanpierre.riveline@aphp.fr,1000,2020,,yes,,"Basline,  every three years (+ CGM every three month and ePRO each month)",French,,,"routine clinical care and biobanking (urine, saliva, hair, plasma, serum, genetics)",,male=51.1%; female=48.9%,type 1 diabetes mellitus,,39.3 ± 5.8,100%,,,type 1 diabetes mellitus,"Type 1  diabetes mellitus, defined as Age at diagnosis of diabetes > 1 year and  <= 35 years. Insulin treatment initiated within the first 12 months following diabetes discovery", >=6 years old ,,,,,Insulin treatment initiated within the first 12 months following diabetes discovery ,Patient under guardianship or protection for vulnerable people,,,,variable,,"non-fatal myocardial infarction (MI); non-fatal stroke; CV-related  death (defined as a death occurring within 30 days after a diagnosis for MI, stroke, unstable angina, heart failure, sudden cardiac arrest, cardiogenic shock, other cerebrovascular events, or other CV events recorded in a medical claim in any settings) ","Macrovascular complications: MACE and individual components; Microvascular complications: Retinopathy, nephropathy, neuropathy, foot deformities, classified per international guidelines; Other complications: Musculoskeletal disorders, periodontal disease, cancer; Mortality;Quality of Life: Assessed by EQ-5D-5L; Determinants analyzed; Classical risk factors for MACE: Age, sex, smoking, hypertension, lipids, family history, bariatric surgery, apnea, arterial disease, female reproductive factors, elderly vulnerability; Glycemic variability and hypoglycemia: CGM metrics, hypoglycemia levels 1-3, severe events, awareness scores;Microangiopathy–macrovascular links;Novel biomarkers: Inflammatory markers, genetic/epigenetic factors, environmental exposures via biobank samples; Psychosocial factors: Education, employment, validated questionnaires on anxiety, eating disorders, deprivation; Therapeutic innovations and care: Diabetes visits, insulin therapy, CGM devices, telemedicine, islet transplantation; Metabolic control: DKA history, HbA1c, anthropometrics, CGM time-in-range metrics; Medications: Diabetes-related and other drugs; Economic burden: Healthcare resource use and costs from claims data (SNDS), socio-demographics, mortality.",,,92,
TheBox,post myocardial infarction,observational design,Modelling clinical decision making and out patient management of risk factor for cardiovascular disease,"Leiden and surrounding area, the Netherlands",Leiden University Medical Center,Wouter van der Loo,w.p.m.van_der_loo@lumc.nl,Douwe Atsma,d.e.atsma@lumc.nl,1700,2016,,yes,,"Patient initiated, recommended at least once a week for wearable data. Clinical parameters at first admission, 1, 3, 6 and 12 months",Dutch,"csv, json",Own coding system,"wearable measurements at home for blood pressure, weight, steps and single lead ECG",Standard care,70.7% male; 29.3% female,Myocardial infarction,Mixed; not registered,65.7 ± 11.9,,100%,,myocardial infarction,myocardial infarction,,,,,Yes,,,,,,variable,,mean difference in blood pressure and weight reduction;mean heart rate; reduction in LDL,,,,,
TeleCheck- AF,Cadiovascular diseases/Chronic kidney disease but no structural/functional heart disease,observational design,,,AZM,,,,,1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STOP-HF,early risk,observational design,,,University College Dublin,,,Schuaiwei,shuaiwei@heartbeattrust.ie,2000,,,,,,,,,,,male=47.1%; female=52.9%,,,69.7 ± 11.6,,,,,, <= 81.3 and  >= 58.1  years old,,,,,,,,,,,,,,,,,
SOPHIA-IMI,early risk,retrospective study design,,,SIB Swiss Institute of Bioinformatics,,,Mark Ibbersen,Mark.Ibberson@sib.swiss,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIM-HF,established Heart failure,randomized controlled trial,,,CHARITE,,,Friedrich Köhler,friedrich.koehler@charite.de,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661,
TIM-HF2,established Heart failure,randomized controlled trial,,,CHARITE,,,Friedrich Köhler,friedrich.koehler@charite.de,1538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCD-HF-cohort,established Heart failure,observational design,,,University College Dublin,,,Matthew Barrett,mjbarrett7@gmail.com,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViennaDiabetes,early risk,observational design,observational registry to evaluate cardiac / HF risk in T2DM patients ,Austria,Medical University of Vienna,,,Martin Huelsmann; Noemi Pavo,martin.huelsmann@meduniwien.ac.at; noemi.pavo@meduniwien.ac.at,2186,,,no,,single point,german,SPSS,Own coding system,"cohort study - no specific intervention, routine clinical care",,,,,range 16-92,100%,,all patients,Type 2 diabetes mellitus,,> 16 years old,,,,,,,,,,,,all-cause death,,,,,
ViennaHF-Register,established Heart failure,observational design,"observational, prospective registry with biobank to assess the characteristics of HFrEF patients and evaluate treatment trends, treatment response and outcomes",Vienna / Austria,Medical University of Vienna,,,Martin Huelsmann; Noemi Pavo,martin.huelsmann@meduniwien.ac.at; noemi.pavo@meduniwien.ac.at,1085,2011,,yes,,"as clinically appropriate (routine visits in 3, 6 or 12 months according to risk)",german,Excel,Own coding system,,,,,,,30%,,all patients,heart failure with reduced ejection fraction,,> 18 years old,,,,,,,,,,,,"all-cause death;hospitalizations classified as planned or unplanned for reasons of heart failure, coronary artery disease, rhythm disturbances or other ischemic/bleeding events",,,,,
FITBEAT,,observational design,,Belgium,IMEC,,,John Morales Tellez,John.MoralesTellez@imec.nl,0,,,,,,,,,,,male=23%; female=77%,,,64±9,,,,,, <= 73 and  >= 55  years old,,,,,,,,,,,,,,,,,
ALOHAS,,observational design,,Belgium,IMEC,,,John Morales Tellez,John.MoralesTellez@imec.nl,0,,,,,,,,,,,male=100%,,,52 ± 7,,,,,, <= 59 and  >= 45  years old,,,,,,,,,,,,,,,,,
DECADE,Coronary arthery disease,observational design,This study aims to validate if the gyroscope and accelerometer derived parameters can identify patients with hemodynamically significant CAD in combined contrast CT coronary angiography and PET perfusion imaging in combination of high-sensitive troponin testing. We hypothesize that change and details in cardiac cycle and cardiac contractility is measurable with GCG and therefore we are able to detect changes related to CAD. Further risk stratification especially in border-line cases can be made based on high-sensitive troponin results. For prognostic risk analysis cardiovascular outcomes will be collected from hospital health records at 1 year and 2 years after the baseline measurements.,Finland,Precordior,Mia koutu,mia.koutu@cardiosignal.com ,Mia koutu,mia.koutu@cardiosignal.com ,930,28.1.2020,16.12.2021,no,Basic pseudonymisation,One visit,English,excel,Own coding system,,CT and PET imaging,male=42.5%;female=57.5%,Coronary artery disease,,65 ± 11.9,24,,male and female,Suspected Coronary Artery Disease ,Patients visiting hospital for suspected CAD and undergoing CCTA,>18 years old,,,,Patients visiting hospital for suspected CAD and undergoing CCTA,,,,,,,,To validate if the gyroscope and accelerometer derived parameters can identify patients with hemodynamically significant CAD in combined contrast CT coronary angiography and PET perfusion imaging in combination of high-sensitive troponin testing,,,,,
