VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,Missing,COUNT,NA,MIN,MAX,Definition,Visits,Formula,Variable Concept Name,Variable Concept Code,Variable OMOP ID,Domain,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Categorical Value Concept Name,Categorical Value Concept Code,Categorical Value OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID
MRA_contra,Mineralocorticoid Receptor Antagonists:contraindication ?,int,,1=yes|0=no,,11332,,0,1,,,,Aldosterone antagonists,atc:C03DA,21601533,drug_exposure,contraindicated,snomed:410536001,4253634,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
DoseringMRA,Mineralocorticoid Receptor Antagonists : dosage,str,mg (miligram),,,11332,,,,,,,Aldosterone antagonists,atc:C03DA,21601533,drug_exposure,Dosage,snomed:260911001,4118853,,,,milligram,ucum:mg,8576
DosisMRA,Mineralocorticoid Receptor Antagonists: daily dosage (no unit),float,,,,11332,,3125,200,,,,Aldosterone antagonists,atc:C03DA,21601533,drug_exposure,Dosage,snomed:260911001,4118853,,,,,,
DosisfrequentieMRA,Mineralocorticoid Receptor Antagonists:daily frequency,int,,,,11332,,0.42,3,,,,Aldosterone antagonists,atc:C03DA,21601533,drug_exposure,Dosage|frequency per day,snomed:260911001|snomed:307438009,4118853|4145077,,,,,,
DagdosisMRA,Mineralocorticoid Receptor Antagonists: total daily dose,float,,,,11332,,0,200,,,,Aldosterone antagonists,atc:C03DA,21601533,drug_exposure,Dosage|total,snomed:260911001|snomed:255619001,4118853|4112438,,,,,,
MRADose,Mineralocorticoid Receptor Antagonists: Percentage of dose,float,percent ,,,11332,,0,200,,,,Aldosterone antagonists,atc:C03DA,21601533,drug_exposure,Fractionated dose,Snomed:47501000087100,1244023,,,,percent,ucum:%,8554
Digoxine,Digoxine:Medication administered,str,,nvt=not applicable| digoxine=digixon| gestopt ivm bijw=stopped| contraindicatie=contrainidicated,,11332,,,,,,,digoxin,rxnorm:3407,1326303,drug_exposure,Medication administration,loinc:LP207306-4,706336,not applicable|digoxin|medication stopped - side effect|contraindicated,snomed:385432009|rxnorm:3407|snomed:395009001|snomed:410536001,4294169|1326303|4216319|4253634,,,
DoseringDigoxine,Digoxin: dosage,str,mg (miligram),,,11332,,,,,,,digoxin,rxnorm:3407,1326303,drug_exposure,Dosage,snomed:260911001,4118853,,,,milligram,ucum:mg,8576
DosisDigoxine,Digoxine:daily dosage (no unit),float,,,,11332,,0.0165,0.625,,,,digoxin,rxnorm:3407,1326303,drug_exposure,Dosage,snomed:260911001,4118853,,,,,,
DosisfrequentieDigoxine,Digoxine: dosing frequency,int,,,,11332,,1,1,,,,digoxin,rxnorm:3407,1326303,drug_exposure,Dosage|frequency per day,snomed:260911001|snomed:307438009,4118853|4145077,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
DagdosisDigoxine,Digoxine: total daily dose,float,,,,11332,,0,0.625,,,,digoxin,rxnorm:3407,1326303,drug_exposure,Dosage|total,snomed:260911001|snomed:255619001,4118853|4112438,,,,,,
Amiodarone,Amiodarone,str,,nvt=Not applicable|amiodarone=amiodarone| gestopt ivm bijw=medication stopped due to side effects| contraindicatie=contraindicated,,11332,,,,,,,amiodarone,rxnorm:703,1309944,drug_exposure,,,,not applicable|amiodarone|medication stopped - side effect|contraindicated,snomed:385432009|rxnorm:703|snomed:395009001|snomed:410536001,4294169|1309944|4216319|4253634,,,
DoseringAmiodarone,Amiodarone: dosage,str,mg (miligram),,,11332,,,,,,,amiodarone,rxnorm:703,1309944,drug_exposure,Dosage,snomed:260911001,4118853,1 time per day|2 times per day|3 times per day,loinc:LA13827-3|loinc:LA13840-6|loinc:LA13851-3,45885250|45883167|45883169,milligram,ucum:mg,8576
DosisAmiodarone,Amiodarone:Daily dose,float,,,,11332,,50,400,,,,amiodarone,rxnorm:703,1309944,drug_exposure,Dosage,snomed:260911001,4118853,,,,,,
DosisfrequentieAmiodarone,Amiodarone:dosing frequency,int,,1=once a day|2=twice a day|3=three times a day,,11332,,1,3,,,,amiodarone,rxnorm:703,1309944,drug_exposure,Dosage|frequency per day,snomed:260911001|snomed:307438009,4118853|4145077,1 time per day|2 times per day|3 times per day,loinc:LA13827-3|loinc:LA13840-6|loinc:LA13851-3,45885250|45883167|45883169,,,
DagdosisAmiodarone,Amiodarone:total daily dose,float,,,,11332,,0,600,,,,amiodarone,rxnorm:703,1309944,drug_exposure,Dosage|total,snomed:260911001|snomed:255619001,4118853|4112438,,,,,,
ARNI,Angiotensin Receptor Neprilysin Inhibitor,str,,,,11332,,,,,,,Renin-inhibitors,atc:C09XA,21601849,drug_exposure,,,,,,,,,
DoseringARNI,Angiotensin Receptor Neprilysin Inhibitor: dosage,float,,,,11332,,,,,,,Renin-inhibitors,atc:C09XA,21601849,drug_exposure,Dosage,snomed:260911001,4118853,,,,,,
IJzerstatus,iron deficiency status,str,,nvt=not applicable|Ferritine 100-300ug/l +transferrine saturatie<20%=functional iron deficiency|Ferritine <100ug/l=absolute iron deficiency,,11332,,,,,,,Iron deficiency screening,snomed:171198002,4064375,observation,,,,not applicable|Functional|Absolute,snomed:385432009|snomed:40143009|snomed:56136002,40480274|4222447|4210327,,,
ACEroptimaal,Optimization of drug dose of Angiotensin-converting enzyme inhibitor therapy,str,,nvt=Not applicable| max verdraagbaar=Maximum tolerated dose| targetdosis=target dose| titratiefase=Titration phase| contraindicatie=contraindicated,,11332,,,,,,,"""ACE inhibitors, plain""",atc:C09AA,21601784,drug_exposure,Optimization of drug dosage,snomed:395067002,4191838,not applicable|patient on maximum tolerated dose|Angiotensin converting enzyme inhibitor target dose achieved|Medication titrated|contraindicated,snomed:385432009|snomed:407566003|snomed:108741000000109|snomed:494716691000132104|snomed:410536001,4294169|4232917|44787827|37304212|4253634,,,
ARBoptimaal,optimization of drug dosage Angiotensin II Receptor Blockers inhibitor therapy,str,,nvt=Not applicable| max verdraagbaar=Maximum tolerated dose| targetdosis=target dose| titratiefase=Titration phase| contraindicatie=contraindicated,,11332,,,,,,,"""Angiotensin II receptor blockers (ARBs), plain""",atc:C09CA,21601823,drug_exposure,Optimization of drug dosage,snomed:395067002,4191838,not applicable|patient on maximum tolerated dose|Angiotensin II receptor blocker target dose achieved|Medication titrated|contraindicated,snomed:385432009|snomed:407566003|icare:icv200000066|snomed:494716691000132104|snomed:410536001,4294169|4232917|2000000066|37304212|4253634,,,
BBoptimaal,optimization of drug dose of Beta-Blocker therapy,str,,nvt=Not applicable| max verdraagbaar=Maximum tolerated dose| targetdosis=target dose| titratiefase=Titration phase| contraindicatie=contraindicated,,11332,,,,,,,BETA BLOCKING AGENTS,atc:C07A,21601665,drug_exposure,optimization of drug dosage,snomed:395067002,4191838,not applicable|patient on maximum tolerated dose|Beta blocker target dose achieved|Medication titrated|contraindicated,snomed:385432009|snomed:407566003|snomed:88641000000105|snomed:494716691000132104|snomed:410536001,4294169|4232917|44810174|37304212|4253634,,,
MRAoptimaal,optimization of drug dose of Mineralocorticoid Receptor Antagonists therapy,str,,nvt=Not applicable| max verdraagbaar=Maximum tolerated dose| targetdosis=target dose| titratiefase=Titration phase| contraindicatie=contraindicated,,11332,,,,,,,Aldosterone antagonists,atc:C03DA,21601533,drug_exposure,optimization of drug dosage,snomed:395067002,4191838,not applicable|patient on maximum tolerated dose|Mineralocorticoid Receptor Antagonists target dose achieved|Medication titrated|contraindicated,snomed:385432009|snomed:407566003|icare:icv200000069|snomed:494716691000132104|snomed:410536001,4294169|4232917|2000000069|37304212|4253634,,,
Extrainformatiemedicatie,Other drugs indicated during treatment plan,str,,,,11332,,,,,,,other therapeutic products,atc:V03AX,21605291,drug_exposure,,,,,,,,,
Interventie,surgical Intervention performed during treatment plan,str,,ja=yes|nee=no,,11332,,,,,,,surgical procedure,snomed:387713003,4301351,procedure_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Devices,medical devices used in intervention,str,,nvt=Not applicable|ICD=Implantable Cardioverter-Defibrillator| CRT-D=Cardiac Resynchronization Therapy with Defibrillator| Pacemaker=pacemaker|CRT-P=Cardiac Resynchronization Therapy with Pacemaker|Overwogen nvt in dossier=not applicable or not indicated|Mitraclip=Mitraclip|LVAD=Left Ventricular Assist Device,,11332,,,,,,,biomedical device,snomed:63653004,4272314,device_exposure,health intervention,snomed:718771000000107,44804044,none|subcutaneous implantable cardioverter defibrillator|cardiac resynchronization therapy implantable defibrillator|pacemaker|cardiac resynchronization therapy implantable pacemaker|considered and not done|Transcatheter mitral valve repair|left ventricular assistive device (lvad),loinc:LA137-2|snomed:1236894001|snomed:704707009|loinc:LA19767-5|snomed:704708004|snomed:385661002|snomed:459691000124101|loinc:LA9994-0,45878582|37164898|45767328|36310218|45767329|4294902|36684977|45883988,,,
Datumplaatsing,Date of intervention,DATETIME,dd/mm/yyyy,,,11332,,,,,,,date of procedure,snomed:439272007,4232096,procedure_occurrence,health intervention,snomed:718771000000107,44804044,,,,,,
DatumEvents,Date of Event,DATETIME,dd/mm/yyyy,,,11332,,,,,,,date of event,snomed:439771001,4208903,observation,,,,,,,,,
Telemonitoring,Telehealth monitoring,str,,ja=yes|nee=no,,11332,,,,,,,telehealth monitoring,snomed:719858009,36714564,procedure_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
IngebruikzijndeSysteem,monitoring system used,str,,,,11332,,,,,,,physiologic monitoring system,snomed:5159002,4197813,device_exposure,,,,,,,,,
Schildklier,Thyroid gland Finding,str,,,,11332,,,,,,,thyroid gland observable,snomed:364388004,4270271,observation,,,,,,,,,
Anemie,Anemia,str,,,,11332,,,,,,,anemia,snomed:271737000,439777,condition_occurrence,,,,,,,,,
GFR,Glomerular Filtration Rate measurement,str,,,,11332,,,,,,,Glomerular filtration rate,snomed:80274001,4213477,measurement,,,,,,,,,
NTproBNP,N-terminal pro b-type natriuretic peptide in blood,str,pmol/L,,,11332,,,,,,,n terminal pro-brain natriuretic peptide level,snomed:414799001,4189511,measurement,blood,loinc:LA17759-4,45878416,,,,picomole per liter,ucum:pmol/L,8729
pmol,N terminal pro-brain natriuretic peptide level,int,,1=yes|0=no,,11332,,0,1,,,,n terminal pro-brain natriuretic peptide level,snomed:414799001,4189511,measurement,,,,yes|no,loinc:LA6112-2|loinc:LA6111-4,45878303|45880618,,,
pgml,N terminal pro-brain natriuretic peptide level,int,pg/ml,1=yes|0=no,,11332,,0,1,,,,n terminal pro-brain natriuretic peptide level,snomed:414799001,4189511,measurement,,,,yes|no,loinc:LA6112-2|loinc:LA6111-4,45878303|45880618,picogram per milliliter,ucum:pg/mL,8845
NTBNP_raw,N terminal pro-brain natriuretic peptide level,int,,,,11332,,2,100000,,,,n terminal pro-brain natriuretic peptide level,snomed:414799001,4189511,measurement,,,,,,,,,
NTBNP,N terminal pro-brain natriuretic peptide level,int,,,,11332,,2,234452.4,,,,n terminal pro-brain natriuretic peptide level,snomed:414799001,4189511,measurement,,,,,,,,,
BNP,Natriuretic peptide.B prohormone N-Terminal in Serum or Plasma,str,,,,11332,,,,,,,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma,loinc:33762-6,3029187,measurement,,,,,,,,,
VitamineD,Vitamin D,str,,,,11332,,,,,,,vitamin d,rxnorm:11253,19009405,measurement,,,,,,,,,
Ischemiedetectie_Nvt,ischemia detection: not applicable,str,,ja=yes|nee=no,,11332,,,,,,,ischemic heart disease screening,snomed:171223006,4064926,procedure_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Ischemiedetectie_Ergometrie,An exercise stress test was performed for ischemia detection,str,,ja=yes|nee=no,,11332,,,,,,,exercise stress echocardiography,snomed:433233004,4335824,procedure_occurrence,ischemic heart disease screening,snomed:171223006,4064926,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Ischemiedetectie_Myocardscintigrafie,myocardial perfusion scintigraphy:ischemia detection,str,,ja=yes|nee=no,,11332,,,,,,,referral for radionuclide myocardial perfusion study,snomed:429711002,4330793,condition_occurrence,myocardial ischemia,Snomed:414795007,4306655,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Ischemiedetectie_CTcoronairen,CT coronary angiography for ischemia detection,str,,ja=yes|nee=no,,11332,,,,,,,ct angiography of coronary artery with contrast,snomed:419545005,4306317,procedure_occurrence,ischemic heart disease screening,snomed:171223006,4064926,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Ischemiedetectie_CAG,Coronary Angiography for ischemia detection,str,,ja=yes|nee=no,,11332,,,,,,,Angiography of coronary artery,snomed:33367005,4142645,procedure_occurrence,ischemic heart disease screening,snomed:171223006,4064926,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Ischemiedetectie_mristressecho,Magnetic resoce imaging (MRI) for ischemia detection,str,,ja=yes|nee=no,,11332,,,,,,,magnetic resonance imaging,snomed:113091000,4013636,procedure_occurrence,ischemic heart disease screening,snomed:171223006,4064926,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Ischemisch,ischemia,int,,1=yes|0=no,,11332,,0,1,,,,ischemia,snomed:52674009,4200991,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Ischemisch_CMP,Ischemic cardiomyopathy,int,,1=yes|0=no,,11332,,0,1,,,,ischemic dilated cardiomyopathy due to coronary artery disease,snomed:472100003,43020660,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Non_ischemisch_CMP,Cardiomyopathy,int,,1=yes|0=no,,11332,,0,1,,,,cardiomyopathy,snomed:85898001,321319,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
OorzaakHF_onbekend,is reason of heart failure known?,str,,ja=yes|nee=no,,11332,,,,,,,heart failure,snomed:84114007,316139,observation,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
OorzaakHF_Ischemischinfarct,is heart failure related to ischemic infarct?,str,,ja=yes|nee=no,,11332,,,,,,,Myocardial infarction,snomed:22298006,4329847,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
OorzaakHF_IschemischCMP,is heart failure related to cardiomyopathy?,str,,ja=yes|nee=no,,11332,,,,,,,Ischemic myocardial dysfunction,Snomed:281091000,4092936,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
OorzaakHFischemisch,is heart failure related to ischemic conditions?,int,,1=yes|0=no,,11332,,0,1,,,,Ischemic heart disease,Snomed:414545008,4185932,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
OorzaakHF_NonIschemischCMP,is heart failure related to non cardiomyopathy?,str,,ja=yes|nee=no,,11332,,,,,,,Nonischemic cardiomyopathy ,icare:icv2000000047,2000000047,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
OorzaakHF_HypertensieCMP,is heart failure related to Hypertensive Cardiomyopathy (CMP)?,str,,ja=yes|nee=no,,11332,,,,,,,cardiomyopathy due to hypertension,snomed:108701000119102,36712757,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
OorzaakHF_OverigeCMP,is heart failure related to other Cardiomyopathy (CMP)?,str,,ja=yes|nee=no,,11332,,,,,,,cardiomyopathy,snomed:85898001,321319,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
OorzaakHF_Kleplijden,is heart failure related to valvular heart disease?,str,,ja=yes|nee=no,,11332,,,,,,,Heart valve disorder,Snomed:368009,4281749,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
OorzaakHF_Boezemfibrillerenflutter,Is heart failure related to Atrial Fibrillation or Atrial Flutter?,str,,ja=yes|nee=no,,11332,,,,,,,Atrial fibrillation,Snomed:49436004,313217,condition_occurrence,atrial flutter,snomed:5370000,314665,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
OorzaakHF_Overigeritmestoornissen,Is heart failure is attributed to arrhythmias,str,,ja=yes|nee=no,,11332,,,,,,,Cardiac arrhythmia,Snomed:698247007,44784217,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
OorzaakHF_ImpulsGeleiding,Is heart failure is associated with or by impulse conduction disorder- pacemaker is giving worse heart function?,str,,ja=yes|nee=no,,11332,,,,,,,conduction disorder of the heart,Snomed:44808001,316999,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
OorzaakHF_Overig,heart failure cause not specified,str,,ja=yes|nee=no,,11332,,,,,,,heart failure,snomed:84114007,316139,condition_occurrence,unknown (origin),snomed:54690008,4185231,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Comorbiditeit_Nvt,are there no applicable commodities or additional conditions present?,str,,ja=yes|nee=no,,11332,,,,,,,comorbidities and coexisting conditions,loinc:83243-6,36204549,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Comorbiditeit_Anemie,Anemia,str,,ja=yes|nee=no,,11332,,,,,,,anemia,snomed:271737000,439777,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Comorbiditeit_HT,hypertension,str,,ja=yes|nee=no,,11332,,,,,,,hypertension,loinc:LA7444-8,45876622,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Comorbiditeit_DM1,Diabetes Mellitus Type 1 (DM1),str,,ja=yes|nee=no,,11332,,,,,,,type 1 diabetes mellitus,snomed:46635009,201254,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Comorbiditeit_DM2,Diabetes Mellitus Type 2 (DM2),str,,ja=yes|nee=no,,11332,,,,,,,type 2 diabetes mellitus,snomed:44054006,201826,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Comorbiditeit_COPD,Chronic Obstructive Pulmonary Disease (COPD) finding status,str,,ja=yes|nee=no,,11332,,,,,,,chronic obstructive pulmonary disease monitoring status,snomed:201341000000101,44788836,observation,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Comorbiditeit_OSAS,Obstructive Sleep Apnea Syndrome,str,,ja=yes|nee=no,,11332,,,,,,,obstructive sleep apnea syndrome,snomed:78275009,442588,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Comorbiditeit_Hypercholesterolemie,hypercholesterolemia as a comorbid condition,str,,ja=yes|nee=no,,11332,,,,,,,hypercholesterolemia,snomed:13644009,4029305,condition_occurrence,co-morbid conditions,snomed:398192003,4160039,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Comorbiditeit_Nierfalen,kidney failure (renal failure),str,,ja=yes|nee=no,,11332,,,,,,,renal failure syndrome,snomed:42399005,192359,condition_occurrence,renal failure syndrome,snomed:42399005,192359,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Nierfalen_eGFR,Glomerular filtration rate testing,str,,ja=yes|nee=no,,11332,,,,,,,Estimated creatinine clearance calculated using actual body weight Cockcroft-Gault formula,Snomed:1556501000000100,37169169,measurement,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Comorbiditeit_Vaatlijden,perpherial artiary disease,str,,ja=yes|nee=no,,11332,,,,,,,peripheral arterial disease,snomed:840580004,3654996,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
interventie_Geen,Surgical/procedural intervention performed,str,,ja=yes|nee=no,,11332,,,,,,,Surgical/procedural intervention,loinc:LA21145-0,45878223,procedure_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
interventie_PCI,Percutaneous Coronary Intervention performed,str,,ja=yes|nee=no,,11332,,,,,,,percutaneous coronary intervention performed,loinc:80727-1,21493696,procedure_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
interventie_Klepok,Surgical intervention indicated,str,,ja=yes|nee=no,,11332,,,,,,,surgical intervention indicated,snomed:360751000000100,44803204,procedure_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
interventie_CABG,Coronary Artery Bypass Grafting (CABG) performed,str,,ja=yes|nee=no,,11332,,,,,,,coronary artery bypass graft,snomed:232717009,4336464,procedure_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
interventie_Ander,surgical/procedure Intervention performed,str,,ja=yes|nee=no,,11332,,,,,,,surgical procedure,snomed:387713003,4301351,procedure_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Hartrevalidatie_Nvt,cardiac rehabilitation not applicable,str,,ja=yes|nee=no,,11332,,,,,,,cardiac rehabilitation,snomed:313395003,4209116,observation,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Hartrevalidatie_Continueondersteuningthuis,continuous home support is part of rehabilitation program,str,,ja=yes|nee=no,,11332,,,,,,,rehabilitation therapy,snomed:52052004,4180248,procedure_occurrence,home support,snomed:304351000000106,44791820,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Hartrevalidatie_Ergotherapie,Seen by dietitian in cardiac rehabilitation,str,,ja=yes|nee=no,,11332,,,,,,,seen by dietitian,snomed:185284002,4088553,visit,cardiac rehabilitation,snomed:313395003,4209116,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Hartrevalidatie_Fysiotherapie,Seen by occupational therapy service as part of the cardiac rehabilitation program,str,,ja=yes|nee=no,,11332,,,,,,,occupational therapy service,snomed:310093001,4147252,visit,cardiac rehabilitation programme offered,snomed:1103751000000101,36685875,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Hartrevalidatie_Psychologie,Seen by physiotherapy as part of cardiac rehabilitation program,str,,ja=yes|nee=no,,11332,,,,,,,physiotherapy,snomed:722138006,36716213,visit,cardiac rehabilitation programme offered,snomed:1103751000000101,36685875,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Ritme_AF,Atrial Fibrillation finding status,str,,ja=yes|nee=no,,11332,,,,,,,atrial fibrillation,snomed:49436004,313217,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Events_Op,Admitted in hospital,str,,ja=yes|nee=no,,11332,,,,,,,Emergency hospital admission for heart failure,Snomed:416683003,4215511,observation,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Events_Herop,Patient Readmission,str,,ja=yes|nee=no,,11332,,,,,,,Emergency hospital admission for heart failure,Snomed:416683003,4215511,visit,readmission,loinc:LA4395-5,36210471,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Events_Overleden,Patient status determination| deceased/dead,str,,ja=yes|nee=no,,11332,,,,,,,death,Snomed:419620001,4306655,death,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
Jaar_DatumeersteHFpolibezoek,baseline visit to Heart Failure Clinic,DATETIME,dd/mm/yyyy,,,11332,,,,,,,seen in heart failure clinic,snomed:416717003,4220132,visit,baseline time,loinc:64103-5,40766819,,,,,,
Jaar_DatumHF,Diagnosis confirmed for heart failure,DATETIME,dd/mm/yyyy,,,11332,,,,,,,heart failure,snomed:84114007,316139,observation,disorder confirmed,snomed:395098000,4194404,,,,,,
Jaar_DatumEvents,Date of enrollment in heart failure registry,DATETIME,dd/mm/yyyy,,,11332,,,,,,,enrollment in clinical trial,snomed:709491003,46271379,visit,heart failure review completed,snomed:202231000000106,44789102,,,,,,
DiureticumYN,Diuretics:Medication administered,str,,ja=yes|nee=no,,11332,,,,,,,diuretics,atc:C03,21601461,drug_exposure,Medication administration,loinc:LP207306-4,706336,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
StatineYN,statins therapy:Medication administered,str,,ja=yes|nee=no,,11332,,,,,,,hmg-coa reductase inhibitor,snomed:734592007,42536020,drug_exposure,Medication administration,loinc:LP207306-4,706336,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
ACEYN,Angiotensin-converting enzyme inhibitor:Medication administered,str,,ja=yes|nee=no,,11332,,,,,,,ACE inhibitors plain,atc:C09AA,21601784,drug_exposure,Medication administration,loinc:LP207306-4,706336,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
ARBYN,Angiotensin II Receptor inhibitor:Medication administered,str,,ja=yes|nee=no,,11332,,,,,,,Angiotensin II receptor blockers (ARBs) plain,atc:C09CA,21601823,drug_exposure,Medication administration,loinc:LP207306-4,706336,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
BetablockerYN,Beta blocking agent:Medication administered,str,,ja=yes|nee=no,,11332,,,,,,,BETA BLOCKING AGENTS,atc:C07A,21601665,drug_exposure,Medication administration,loinc:LP207306-4,706336,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
ACEorARBYN,"ACE and ATR2, Medication administered",str,,ja=yes|nee=no,,11332,,,,,,,Renin-inhibitors,atc:C09XA,21601849,drug_exposure,Medication administration,loinc:LP207306-4,706336,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
ACEenARBYN,"ACE or ATR2, Medication administered",str,,ja=yes|nee=no,,11332,,,,,,,Renin-inhibitors,atc:C09XA,21601849,drug_exposure,Medication administration,loinc:LP207306-4,706336,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
CHECKHF1ekeer,Initial assessment for heart failure,str,,ja=yes|nee=no,,11332,,,,,,,initial patient assessment,loinc:LA21589-9,21498504,observation,heart failure,loinc:LP269425-7,1177390,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
CHECKHF2ekeer,Follow-up cardiac assessment,str,,ja=yes|nee=no,,11332,,,,,,,follow-up cardiac assessment,snomed:170572009,4017167,visit,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
AFYN,Atrial Fibrillation finding status,str,,ja=yes|nee=no,,11332,,,,,,,atrial fibrillation,snomed:49436004,313217,condition_occurrence,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
MRAYN,Mineralocorticoid Receptor Antagonist,str,,ja=yes|nee=no,,11332,,,,,,,Aldosterone antagonists,atc:C03DA,21601533,drug_exposure,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
IfremmerYN,ivabradina,str,,ja=yes|nee=no,,11332,,,,,,,ivabradine,rxnorm:1649480,46234437,drug_exposure,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
DigoxineYN,digoxin,str,,ja=yes|nee=no,,11332,,,,,,,digoxin,rxnorm:3407,1326303,drug_exposure,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
AmiodaroneYN,Amiodarone,str,,ja=yes|nee=no,,11332,,,,,,,amiodarone,rxnorm:703,1309944,drug_exposure,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,,
ARNIYN,Angiotensin Receptor Neprilysin Inhibitor medication,str,,ja=yes|nee=no,,11332,,,,,,,valsartan and sacubitril, oral,atc:C09DX04,1588648,drug_exposure,,,,yes|no,loinc:LA33-6|loinc:LA32-8,45877994|45878245,,
