source,target,somop_id,tomop_id,scode,slabel,tcode,tlabel,category,mapping type,source_visit,target_visit,source_type,source_unit,source_data_type,source_categories,target_type,target_unit,target_data_type,target_categories,transformation_rule
spiroat_bl,em_aldod4,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,bm_aldod2,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,hm_aldod4,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,im_aldo,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""no; yes"", ""target_categories"": ""yes; no""}"
spiroat_bl,em_aldo,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""no; yes"", ""target_categories"": ""yes; no""}"
spiroat_bl,fm_aldod2,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,im_aldod1,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,im_aldow,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,qualitative_variable,,str,,"{""rule"": ""Map structured categorical codes to consistent text labels. Requires normalization. Only suitable for qualitative fields with finite, structured values."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,em_aldod3,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,em_aldow,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,qualitative_variable,,str,,"{""rule"": ""Map structured categorical codes to consistent text labels. Requires normalization. Only suitable for qualitative fields with finite, structured values."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,hm_aldod1,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,bm_aldod1,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,gm_aldod3,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,im_aldod3,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,em_aldod2,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,gm_aldo,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""no; yes"", ""target_categories"": ""yes; no""}"
spiroat_bl,dm_aldod2,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,fm_aldo,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""no; yes"", ""target_categories"": ""yes; no""}"
spiroat_bl,im_aldod2,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,hm_aldo,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""no; yes"", ""target_categories"": ""yes; no""}"
spiroat_bl,dm_aldod3,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,hm_aldod3,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,dm_aldo,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""no; yes"", ""target_categories"": ""yes; no""}"
spiroat_bl,hm_aldod2,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,gm_aldod4,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,dm_aldod1,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,fm_aldow,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,qualitative_variable,,str,,"{""rule"": ""Map structured categorical codes to consistent text labels. Requires normalization. Only suitable for qualitative fields with finite, structured values."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,bm_aldo,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""no; yes"", ""target_categories"": ""yes; no""}"
spiroat_bl,gm_aldod2,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,fm_aldod1,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,bm_aldod4,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,bm_aldow,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,qualitative_variable,,str,,"{""rule"": ""Map structured categorical codes to consistent text labels. Requires normalization. Only suitable for qualitative fields with finite, structured values."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
spiroat_bl,dm_aldod4,21601533.0,21601533.0,atc:c03da,aldosterone antagonists,atc:c03da,aldosterone antagonists,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,no; yes,continuous_variable,milligram,float,,"{""rule"": ""Harmonization may not be possible for drug-related continuous \u2194 categorical mappings. Review therapy context."", ""source_categories"": ""no; yes"", ""target_categories"": """"}"
antidepress,fm_dep,21604686.0,21604686.0,atc:n06a,antidepressants,atc:n06a,antidepressants,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""yes; no""}"
antidepress,hm_dep,21604686.0,21604686.0,atc:n06a,antidepressants,atc:n06a,antidepressants,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""yes; no""}"
antidepress,bm_dep,21604686.0,21604686.0,atc:n06a,antidepressants,atc:n06a,antidepressants,drug_exposure,exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""no; yes""}"
pqduur,be_pq,35811577.0,35811577.0,ukbiobank:22330,pq interval,ukbiobank:22330,pq interval,measurement,exact match,baseline time,baseline time,continuous_variable,millisecond,int,,continuous_variable,millisecond,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
pqduur,ee_pq,35811577.0,35811577.0,ukbiobank:22330,pq interval,ukbiobank:22330,pq interval,measurement,exact match,baseline time,baseline time,continuous_variable,millisecond,int,,continuous_variable,millisecond,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
pqduur,ie_pq,35811577.0,35811577.0,ukbiobank:22330,pq interval,ukbiobank:22330,pq interval,measurement,exact match,baseline time,baseline time,continuous_variable,millisecond,int,,continuous_variable,millisecond,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
pqduur,ge_pq,35811577.0,35811577.0,ukbiobank:22330,pq interval,ukbiobank:22330,pq interval,measurement,exact match,baseline time,baseline time,continuous_variable,millisecond,int,,continuous_variable,millisecond,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
pqduur,de_pq,35811577.0,35811577.0,ukbiobank:22330,pq interval,ukbiobank:22330,pq interval,measurement,exact match,baseline time,baseline time,continuous_variable,millisecond,int,,continuous_variable,millisecond,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
pqduur,fe_pq,35811577.0,35811577.0,ukbiobank:22330,pq interval,ukbiobank:22330,pq interval,measurement,exact match,baseline time,baseline time,continuous_variable,millisecond,int,,continuous_variable,millisecond,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
pqduur,he_pq,35811577.0,35811577.0,ukbiobank:22330,pq interval,ukbiobank:22330,pq interval,measurement,exact match,baseline time,baseline time,continuous_variable,millisecond,int,,continuous_variable,millisecond,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
bmi,bmi (derived),3038553.0,3038553.0,loinc:39156-5,Body mass index (bmi) [ratio],loinc:39156-5,Body mass index (bmi) [ratio],,derived match,baseline time,baseline time,continuous_variable,kilogram per square meter,float,,,,,,"{""rule"": ""No specific transformation rule matched."", ""source_categories"": """", ""target_categories"": """"}"
,,,,,,,,,,,,,,,,,,,,"{""rule"": ""Transformation not applicable (invalid or missing statistical type)."", ""source_categories"": """", ""target_categories"": """"}"
synkope,hn_znsyn,135360.0,135360.0,snomed:271594007,syncope,snomed:271594007,syncope,condition_occurrence|observation,cross domain exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""no; yes""}"
synkope,fn_znsyn,135360.0,135360.0,snomed:271594007,syncope,snomed:271594007,syncope,condition_occurrence|observation,cross domain exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,no; yes,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""no; yes""}"
synkope,bn_znsyn,135360.0,135360.0,snomed:271594007,syncope,snomed:271594007,syncope,condition_occurrence|observation,cross domain exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""yes; no""}"
dmyear,br_dm,201820.0,201820.0,snomed:73211009,diabetes mellitus,snomed:73211009,diabetes mellitus,condition_era|condition_occurrence,cross domain exact match,baseline time,baseline time,qualitative_variable,year,datetime,,binary_class_variable,,int,no; yes,"{""rule"": ""Map qualitative text to standard categories. Normalize and encode. Applicable only if text values are consistently structured."", ""source_categories"": """", ""target_categories"": ""no; yes""}"
causeofheartfailure,bh_diagu,316139.0,316139.0,snomed:84114007,heart failure,snomed:84114007,heart failure,observation|condition_occurrence,cross domain exact match,baseline time,baseline time,multi_class_variable,,int,dilated cardiomyopathy; coronary artery disease; other; heart valve disorder; hypertensive heart disease,multi_class_variable,,int,unknown,"{""rule"": ""Alignment of categorical values required. Source and target differ. Map categories semantically across datasets."", ""source_categories"": ""dilated cardiomyopathy; coronary artery disease; other; heart valve disorder; hypertensive heart disease"", ""target_categories"": ""unknown""}"
causeofheartfailure,bh_diagj,316139.0,316139.0,snomed:84114007,heart failure,snomed:84114007,heart failure,observation|condition_occurrence,cross domain exact match,baseline time,baseline time,multi_class_variable,,int,dilated cardiomyopathy; coronary artery disease; other; heart valve disorder; hypertensive heart disease,continuous_variable,years,int,,"{""rule"": ""Discretize continuous variable to categories. Acceptable only if information loss is minimal. Represent as: (1) binary flag for event presence, (2) category of event type."", ""source_categories"": ""dilated cardiomyopathy; coronary artery disease; other; heart valve disorder; hypertensive heart disease"", ""target_categories"": """"}"
depression,bq_phq2,440383.0,440383.0,snomed:35489007,depressive disorder,snomed:35489007,depressive disorder,condition_occurrence|observation,cross domain exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,multi_class_variable,,int,some days; more than half the days; nearly every day; never,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""yes; no"", ""target_categories"": ""some days; more than half the days; nearly every day; never""}"
depression,dq_phq2,440383.0,440383.0,snomed:35489007,depressive disorder,snomed:35489007,depressive disorder,condition_occurrence|observation,cross domain exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,multi_class_variable,,int,nearly every day; more than half the days; some days; never,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""yes; no"", ""target_categories"": ""nearly every day; more than half the days; some days; never""}"
depression,eq_phq2,440383.0,440383.0,snomed:35489007,depressive disorder,snomed:35489007,depressive disorder,condition_occurrence|observation,cross domain exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,multi_class_variable,,int,nearly every day; some days; never; more than half the days,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""yes; no"", ""target_categories"": ""nearly every day; some days; never; more than half the days""}"
depression,gq_phq2,440383.0,440383.0,snomed:35489007,depressive disorder,snomed:35489007,depressive disorder,condition_occurrence|observation,cross domain exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,multi_class_variable,,int,some days; nearly every day; more than half the days; never,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""yes; no"", ""target_categories"": ""some days; nearly every day; more than half the days; never""}"
depression,fq_phq2,440383.0,440383.0,snomed:35489007,depressive disorder,snomed:35489007,depressive disorder,condition_occurrence|observation,cross domain exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,multi_class_variable,,int,some days; nearly every day; never; more than half the days,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""yes; no"", ""target_categories"": ""some days; nearly every day; never; more than half the days""}"
depression,iq_phq2,440383.0,440383.0,snomed:35489007,depressive disorder,snomed:35489007,depressive disorder,condition_occurrence|observation,cross domain exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,multi_class_variable,,int,never; some days; more than half the days; nearly every day,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""yes; no"", ""target_categories"": ""never; some days; more than half the days; nearly every day""}"
depression,hq_phq2,440383.0,440383.0,snomed:35489007,depressive disorder,snomed:35489007,"feeling down, depressed, or hopeless in last 2 weeks caregiver [reported.phq]",condition_occurrence|measurement,cross domain exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,multi_class_variable,,int,some days; never; nearly every day; more than half the days,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""yes; no"", ""target_categories"": ""some days; never; nearly every day; more than half the days""}"
stopyears,br_smok,761009.0,761009.0,snomed:1311000175101,smoking assessment,snomed:1311000175101,smoking assessment,condition_occurrence|measurement,cross domain exact match,baseline time,baseline time,continuous_variable,year,int,,multi_class_variable,,int,,"{""rule"": ""Discretize continuous variable to categories. Acceptable only if information loss is minimal. Represent as: (1) binary flag for event presence, (2) category of event type."", ""source_categories"": """", ""target_categories"": """"}"
smoking,br_smok,761009.0,761009.0,snomed:1311000175101,smoking assessment,snomed:1311000175101,smoking assessment,condition_occurrence|measurement,cross domain exact match,baseline time,baseline time,multi_class_variable,,int,former smoker; never smoked; current smoker,multi_class_variable,,int,,"{""rule"": ""Alignment of categorical values required. Source and target differ. Map categories semantically across datasets."", ""source_categories"": ""former smoker; never smoked; current smoker"", ""target_categories"": """"}"
dcmyear,bd_dcm,4163710.0,4163710.0,snomed:399020009,dilated cardiomyopathy,snomed:399020009,dilated cardiomyopathy,condition_era|condition_occurrence,cross domain exact match,baseline time,baseline time,qualitative_variable,year,datetime,,binary_class_variable,,int,yes; no,"{""rule"": ""Map qualitative text to standard categories. Normalize and encode. Applicable only if text values are consistently structured."", ""source_categories"": """", ""target_categories"": ""yes; no""}"
rales,gz_prg,4167669.0,4167669.0,snomed:48409008,respiratory crackles,snomed:48409008,respiratory crackles,observation|measurement,cross domain exact match,baseline time,baseline time,multi_class_variable,,int,upper zone of lung; lower zone of lung; no; middle zone of lung,binary_class_variable,,int,yes; no,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""upper zone of lung; lower zone of lung; no; middle zone of lung"", ""target_categories"": ""yes; no""}"
rales_01,gz_prg,4167669.0,4167669.0,snomed:48409008,respiratory crackles,snomed:48409008,respiratory crackles,observation|measurement,cross domain exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""yes; no""}"
rales,bz_prg,4167669.0,4167669.0,snomed:48409008,respiratory crackles,snomed:48409008,respiratory crackles,observation|measurement,cross domain exact match,baseline time,baseline time,multi_class_variable,,int,upper zone of lung; lower zone of lung; no; middle zone of lung,binary_class_variable,,int,yes; no,"{""rule"": ""Convert multi-class to binary class. Information loss must be justified."", ""source_categories"": ""upper zone of lung; lower zone of lung; no; middle zone of lung"", ""target_categories"": ""yes; no""}"
rales_01,bz_prg,4167669.0,4167669.0,snomed:48409008,respiratory crackles,snomed:48409008,respiratory crackles,observation|measurement,cross domain exact match,baseline time,baseline time,binary_class_variable,,int,yes; no,binary_class_variable,,int,yes; no,"{""rule"": ""No transformation required. Source and target categorical values match."", ""source_categories"": ""yes; no"", ""target_categories"": ""yes; no""}"
icdyear,bi_defi,4217646.0,4217646.0,snomed:72506001,implantable defibrillator,snomed:72506001,implantable defibrillator,condition_era|condition_occurrence,cross domain exact match,baseline time,baseline time,qualitative_variable,year,datetime,,binary_class_variable,,int,yes; no,"{""rule"": ""Map qualitative text to standard categories. Normalize and encode. Applicable only if text values are consistently structured."", ""source_categories"": """", ""target_categories"": ""yes; no""}"
nyha_class,eh_nyha,4223299.0,4223299.0,snomed:420816009,new york heart association classification,snomed:420816009,new york heart association classification,observation|measurement,cross domain exact match,baseline time,baseline time,multi_class_variable,,int,new york heart association classification - class iii; new york heart association classification - class ii; new york heart association classification - class i; new york heart association classification - class iv,multi_class_variable,,int,iii; i; iv; ii,"{""rule"": ""Alignment of categorical values required. Source and target differ. Map categories semantically across datasets."", ""source_categories"": ""new york heart association classification - class iii; new york heart association classification - class ii; new york heart association classification - class i; new york heart association classification - class iv"", ""target_categories"": ""iii; i; iv; ii""}"
nyha_class,hh_nyha,4223299.0,4223299.0,snomed:420816009,new york heart association classification,snomed:420816009,new york heart association classification,observation|measurement,cross domain exact match,baseline time,baseline time,multi_class_variable,,int,new york heart association classification - class iii; new york heart association classification - class ii; new york heart association classification - class i; new york heart association classification - class iv,multi_class_variable,,int,i; ii; iii; iv,"{""rule"": ""Alignment of categorical values required. Source and target differ. Map categories semantically across datasets."", ""source_categories"": ""new york heart association classification - class iii; new york heart association classification - class ii; new york heart association classification - class i; new york heart association classification - class iv"", ""target_categories"": ""i; ii; iii; iv""}"
nyha_class,ih_nyha,4223299.0,4223299.0,snomed:420816009,new york heart association classification,snomed:420816009,new york heart association classification,observation|measurement,cross domain exact match,baseline time,baseline time,multi_class_variable,,int,new york heart association classification - class iii; new york heart association classification - class ii; new york heart association classification - class i; new york heart association classification - class iv,multi_class_variable,,int,iv; ii; iii; i,"{""rule"": ""Alignment of categorical values required. Source and target differ. Map categories semantically across datasets."", ""source_categories"": ""new york heart association classification - class iii; new york heart association classification - class ii; new york heart association classification - class i; new york heart association classification - class iv"", ""target_categories"": ""iv; ii; iii; i""}"
nyha_class,fh_nyha,4223299.0,4223299.0,snomed:420816009,new york heart association classification,snomed:420816009,new york heart association classification,observation|measurement,cross domain exact match,baseline time,baseline time,multi_class_variable,,int,new york heart association classification - class iii; new york heart association classification - class ii; new york heart association classification - class i; new york heart association classification - class iv,multi_class_variable,,int,i; ii; iv; iii,"{""rule"": ""Alignment of categorical values required. Source and target differ. Map categories semantically across datasets."", ""source_categories"": ""new york heart association classification - class iii; new york heart association classification - class ii; new york heart association classification - class i; new york heart association classification - class iv"", ""target_categories"": ""i; ii; iv; iii""}"
dosetorabl,em_diud3,942350.0,21601516.0,rxnorm:38413,torsemide,atc:c03c,high-ceiling diuretics,drug_exposure,semantic match,baseline time,baseline time,continuous_variable,milligram,int,,continuous_variable,milligram,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
dosetorabl,bm_diu2d1,942350.0,21601516.0,rxnorm:38413,torsemide,atc:c03c,high-ceiling diuretics,drug_exposure,semantic match,baseline time,baseline time,continuous_variable,milligram,int,,continuous_variable,milligram,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
dosetorabl,fm_diud4,942350.0,21601516.0,rxnorm:38413,torsemide,atc:c03c,high-ceiling diuretics,drug_exposure,semantic match,baseline time,baseline time,continuous_variable,milligram,int,,continuous_variable,milligram,float,,"{""rule"": ""No transformation required. Continuous types and units match."", ""source_categories"": """", ""target_categories"": """"}"
dosetorabl,im_diuw2,942350.0,21601516.0,rxnorm:38413,torsemide,atc:c03c,high-ceiling diuretics,drug_exposure,semantic match,baseline time,baseline time,continuous_variable,milligram,int,,qualitative_variable,,str,,"{""rule"": ""No specific transformation rule matched."", ""source_categories"": """", ""target_categories"": """"}"
